code,level,state,partisan_lean,gcb,environment,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
IN-03,district,IN,-31.51,4.82,-26.69,-31.73,53.3,43.4,9.9,1.8,83.2,6.6,5.5,2.8,1.9,0.1
IN-04,district,IN,-29.97,4.82,-25.15,-29.88,52.6,44.2,8.4,1.5,83.3,4.0,5.9,4.3,1.9,0.6
IN-05,district,IN,-17.22,4.82,-12.4,-17.13,47.3,49.4,-2.1,1.9,83.7,6.7,3.8,3.9,1.8,0.1
IN-06,district,IN,-33.14,4.82,-28.32,-33.1,54.0,42.7,11.3,1.7,84.2,4.5,4.2,5.1,1.9,0.1
IN-07,district,IN,42.38,4.82,47.2,42.16,21.7,75.0,-53.3,1.4,50.0,33.1,12.1,2.7,2.0,0.1
IN-08,district,IN,-35.64,4.82,-30.82,-36.49,55.3,41.4,13.9,2.3,89.5,4.7,2.5,1.3,1.8,0.2
IN-09,district,IN,-29.6,4.82,-24.78,-30.39,52.6,44.1,8.6,2.0,88.7,3.4,3.3,2.3,2.1,0.1
KS-01,district,KS,-31.58,4.82,-26.76,-31.85,52.8,44.0,8.8,0.6,77.4,3.7,13.0,2.5,3.2,0.2
KS-02,district,KS,-19.21,4.82,-14.39,-20.06,47.7,49.0,-1.2,1.1,73.0,9.8,10.6,2.2,4.1,0.3
KS-03,district,KS,3.85,4.82,8.67,4.17,38.0,58.8,-20.8,1.1,78.0,5.4,8.5,5.4,2.5,0.1
KS-04,district,KS,-23.53,4.82,-18.71,-23.7,49.5,47.3,2.2,0.8,72.9,7.7,11.1,4.0,4.1,0.2
KY-01,district,KY,-46.75,4.82,-41.93,-47.91,60.0,36.7,23.4,2.3,86.0,7.9,3.0,1.0,2.0,0.1
KY-02,district,KY,-40.88,4.82,-36.06,-41.93,57.5,39.3,18.2,2.1,85.8,6.3,3.4,2.3,2.1,0.2
KY-03,district,KY,19.91,4.82,24.73,19.27,31.5,65.2,-33.7,1.8,65.4,22.0,6.8,3.7,1.9,0.2
KY-04,district,KY,-35.58,4.82,-30.76,-36.16,55.2,41.5,13.7,2.1,88.8,4.0,3.4,1.5,2.1,0.2
KY-05,district,KY,-63.42,4.82,-58.6,-64.67,67.2,29.5,37.7,2.4,94.3,2.0,1.3,0.5,1.8,0.1
KY-06,district,KY,-14.62,4.82,-9.8,-15.31,46.2,50.5,-4.3,1.9,80.9,9.1,5.0,2.8,2.0,0.2
LA-01,district,LA,-39.2,4.82,-34.38,-39.08,56.3,40.4,15.8,1.2,70.3,13.3,10.3,3.0,3.0,0.1
LA-02,district,LA,50.05,4.82,54.87,48.71,19.0,77.8,-58.8,2.4,29.3,57.5,8.2,3.3,1.5,0.1
LA-03,district,LA,-35.51,4.82,-30.69,-36.65,55.3,41.4,13.9,2.4,63.9,27.7,4.6,2.0,1.7,0.1
LA-04,district,LA,-33.25,4.82,-28.43,-34.59,54.4,42.3,12.1,2.5,61.0,30.3,4.3,1.5,2.6,0.2
LA-05,district,LA,-32.9,4.82,-28.08,-34.39,54.4,42.4,12.0,2.7,59.9,33.2,3.6,1.3,2.0,0.1
LA-06,district,LA,-32.23,4.82,-27.41,-32.4,53.8,43.0,10.8,2.0,64.6,24.5,6.3,2.7,1.8,0.1
MA-01,district,MA,15.81,4.82,20.63,13.91,32.5,64.2,-31.7,0.4,72.5,7.2,15.6,2.7,1.7,0.2
MA-02,district,MA,25.78,4.82,30.6,24.29,28.5,68.2,-39.7,0.8,74.4,6.5,9.7,7.8,1.4,0.1
MA-03,district,MA,21.24,4.82,26.06,19.39,29.7,67.0,-37.3,-0.6,64.2,6.3,19.4,8.5,1.4,0.2
MA-04,district,MA,22.05,4.82,26.87,20.13,30.4,66.3,-35.9,1.5,81.8,4.7,5.2,7.3,1.0,0.1
MA-05,district,MA,47.53,4.82,52.35,46.35,19.1,77.7,-58.6,0.4,68.7,6.4,9.6,14.2,0.9,0.1
MA-06,district,MA,22.31,4.82,27.13,21.09,30.1,66.6,-36.5,1.1,80.0,4.4,9.2,5.3,1.1,0.1
MA-07,district,MA,67.47,4.82,72.29,65.14,10.1,86.6,-76.5,-0.5,41.7,24.0,19.1,13.7,1.4,0.2
MA-08,district,MA,28.81,4.82,33.63,26.99,27.5,69.3,-41.8,1.3,70.0,12.5,6.1,10.4,0.9,0.1
MA-09,district,MA,12.33,4.82,17.15,10.94,34.8,62.0,-27.2,1.9,87.2,4.6,5.0,1.7,1.4,0.1
MD-01,district,MD,-17.13,4.82,-12.31,-17.31,47.4,49.4,-2.0,2.1,74.9,15.5,4.5,3.1,1.9,0.1
MD-02,district,MD,19.11,4.82,23.93,18.95,31.9,64.9,-33.0,1.9,62.2,24.3,5.1,6.8,1.6,0.1
MD-03,district,MD,24.34,4.82,29.16,24.49,29.2,67.5,-38.3,1.1,60.3,18.3,7.6,11.8,1.8,0.2
MD-04,district,MD,77.68,4.82,82.5,75.67,6.2,90.5,-84.3,0.3,11.9,58.0,21.3,6.2,2.4,0.2
MD-05,district,MD,34.17,4.82,38.99,34.05,25.7,71.1,-45.4,2.3,45.1,42.4,6.0,4.2,2.2,0.2
MD-06,district,MD,6.52,4.82,11.34,5.93,36.6,60.2,-23.6,0.6,63.1,13.8,11.5,9.4,2.0,0.2
MD-07,district,MD,61.65,4.82,66.47,60.49,14.0,82.7,-68.7,2.4,32.1,54.1,7.1,4.8,1.8,0.1
MD-08,district,MD,59.43,4.82,64.25,58.06,13.5,83.3,-69.8,-0.6,46.4,18.1,17.8,15.9,1.7,0.2
ME-01,district,ME,22.36,4.82,27.18,22.33,30.7,66.1,-35.4,2.2,91.8,2.4,1.8,2.1,1.8,0.1
ME-02,district,ME,-8.86,4.82,-4.04,-9.72,44.0,52.8,-8.8,2.3,93.0,1.6,1.4,1.2,2.7,0.1
