race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AR-03,house,AR,03,Robb Ryerse,Steve Womack,DEM,REP,REP,REP,-28.32,0.3,99.7,Safe R,-23.81,3.96,-28.32,-1.84,-6.29,-0.34,-25.81,-2.51,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,88315,1547665,0,35.84,64.16,0.0,79418,142180,0,0,221598
AR-04,house,AR,04,James Russell,Bruce Westerman,DEM,REP,REP,REP,-41.6,0.0,100.0,Safe R,-37.25,3.96,-41.6,-2.85,-4.96,-0.49,-40.73,-0.86,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,0,2197868,0,29.2,70.8,0.0,57398,139160,0,0,196558
AZ-01,house,AZ,01,Amish Shah,Gina Swoboda,DEM,REP,,REP,5.53,70.2,29.8,Lean D,0.97,3.96,5.83,1.2,0.0,-0.3,-3.14,8.67,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,43.47,41.41,2,1.35,0.15,1290456,222185,0,51.77,46.35,1.88,163353,146230,5932,0,315514
AZ-02,house,AZ,02,Jonathan Nez,Eli Crane,DEM,REP,REP,REP,-0.0,50.0,50.0,Toss-up,-10.25,3.96,-0.0,-0.86,7.81,-0.67,-15.12,15.12,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,2341970,7449412,0,50.0,50.0,0.0,145765,145769,0,0,291534
AZ-03,house,AZ,03,Yassamin Ansari,Kirt Burgess,DEM,REP,DEM,DEM,61.4,100.0,0.0,Safe D,46.45,3.96,61.4,2.42,6.47,2.1,40.31,21.09,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,1217963,0,0,80.7,19.3,0.0,120449,28807,0,0,149255
AZ-04,house,AZ,04,Greg Stanton,Zuhdi Jasser,DEM,REP,DEM,DEM,18.66,96.3,3.7,Safe D,10.54,3.96,18.66,0.92,3.02,0.21,6.76,11.89,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,1663223,450109,0,59.33,40.67,0.0,144319,98935,0,0,243254
AZ-05,house,AZ,05,Christopher James,Daniel Keenan,DEM,REP,,REP,-14.26,8.6,91.4,Likely R,-16.35,3.96,-14.26,-1.67,0.0,-0.2,-20.19,5.93,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,124665,1578351,0,42.87,57.13,0.0,133547,177970,0,0,311518
AZ-06,house,AZ,06,JoAnna Mendoza,Juan Ciscomani,DEM,REP,REP,REP,5.08,68.7,31.3,Lean D,2.57,3.96,4.77,0.04,-1.91,0.11,-0.76,5.84,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,43.0,42.0,1,4.0,0.15,5341038,5083547,0,51.43,46.45,2.12,158458,143133,6532,0,308122
AZ-07,house,AZ,07,Adelita Grijalva,Daniel Butierez,DEM,REP,DEM,DEM,37.92,100.0,0.0,Safe D,28.5,3.96,37.92,1.54,2.05,1.86,22.39,15.53,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,2094207,223537,0,68.96,31.04,0.0,135978,61202,0,0,197180
AZ-08,house,AZ,08,Bernadette Greene Placentia,Abraham Hamadeh,DEM,REP,REP,REP,-10.9,14.8,85.2,Likely R,-12.81,3.96,-10.9,-1.06,-0.95,-0.05,-16.48,5.58,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,209358,1013076,0,44.55,55.45,0.0,122251,152165,0,0,274416
AZ-09,house,AZ,09,Danielle Sterbinsky,Paul Gosar,DEM,REP,REP,REP,-24.12,1.0,99.0,Safe R,-27.02,3.96,-24.12,-0.2,-1.21,0.35,-31.34,7.22,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,260572,357756,0,37.94,62.06,0.0,106888,174843,0,0,281730
CA-01,house,CA,01,Mike McGuire,James Gallagher,DEM,REP,,DEM,20.12,97.3,2.7,Safe D,15.81,3.96,20.12,0.24,0.0,0.11,12.63,7.49,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,1467649,1047240,0,60.06,39.94,0.0,143635,95516,0,0,239151
CA-02,house,CA,02,Jared Huffman,Robin Littau,DEM,REP,DEM,DEM,34.76,100.0,0.0,Safe D,28.27,3.96,34.76,2.18,0.77,-0.42,25.45,9.31,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,868510,0,0,67.38,32.62,0.0,183627,88893,0,0,272520
CA-03,house,CA,03,Amerish Bera,Robb Tucker,DEM,REP,DEM,DEM,20.32,97.4,2.6,Safe D,13.24,3.96,20.32,1.03,2.23,-0.13,10.55,9.77,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,1038702,227060,0,60.16,39.84,0.0,154401,102243,0,0,256644
CA-04,house,CA,04,Mike Thompson,Ray Riehle,DEM,REP,DEM,DEM,28.01,99.6,0.4,Safe D,18.61,3.96,28.01,2.31,2.74,0.39,14.96,13.05,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,3482591,112696,0,64.0,36.0,0.0,154094,86660,0,0,240754
CA-05,house,CA,05,Michael Masuda,Tom McClintock,DEM,REP,REP,REP,-19.18,3.3,96.7,Safe R,-17.91,3.96,-19.18,-0.75,-4.77,0.28,-21.2,2.02,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,272165,819918,0,40.41,59.59,0.0,102532,151191,0,0,253723
CA-06,house,CA,06,Richard Pan,Kevin Kiley,DEM,IND,IND,IND,11.0,85.4,14.6,Likely D,11.67,3.96,11.0,-0.99,-3.7,0.06,8.67,2.33,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,687794,2699316,0,55.5,44.5,0.0,130673,104768,0,0,235441
CA-07,house,CA,07,Doris Matsui,Republican candidate (CA-07),DEM,REP,DEM,DEM,27.64,99.6,0.4,Safe D,16.96,3.96,27.64,3.07,3.51,0.13,13.26,14.38,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,2959675,0,0,63.82,36.18,0.0,154974,87861,0,0,242835
CA-08,house,CA,08,John Garamendi,Rudy Recile,DEM,REP,DEM,DEM,48.01,100.0,0.0,Safe D,39.45,3.96,48.01,1.61,2.41,0.58,35.19,12.82,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,441195,7737,0,74.01,25.99,0.0,161809,56835,0,0,218644
CA-09,house,CA,09,Josh Harder,John McBride,DEM,REP,DEM,DEM,29.65,99.8,0.2,Safe D,17.32,3.96,29.65,2.89,4.61,0.87,11.8,17.85,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,3714506,30151,0,64.83,35.17,0.0,121833,66107,0,0,187940
CA-10,house,CA,10,Mark DeSaulnier,Jeff Frese,DEM,REP,DEM,DEM,43.92,100.0,0.0,Safe D,37.89,3.96,43.92,1.82,0.33,-0.07,34.75,9.18,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,515092,0,0,71.96,28.04,0.0,190323,74157,0,0,264480
CA-11,house,CA,11,Scott Wiener,Republican candidate (CA-11),DEM,REP,,DEM,81.38,100.0,0.0,Safe D,74.44,3.96,81.38,3.29,0.0,-0.31,70.62,10.75,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,3958853,0,0,90.69,9.31,0.0,229285,23541,0,0,252827
