race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,24.77,99.2,0.8,Safe D,15.57,5.19,24.77,2.63,1.67,-0.28,14.84,9.93,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,3940137,70152,0,4705684,38004,0,0,0,1419652,32148,0,52510,3182,0,1310377,300,0,0,54260,0,0,54250,0,62.39,37.61,0.0,223055,134487,0,0,357542
FL-SEN,senate,FL,SEN,Angie Nixon,Ashley Moody,DEM,REP,REP,REP,-7.0,24.6,75.4,Likely R,-8.75,5.19,-6.52,-1.8,-1.67,0.51,-13.22,6.23,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.04,49.3,4,-9.25,0.175,974845,11270805,0,264978,8491175,0,52168,589711,709866,2779629,0,576840,1529142,0,0,2083000,0,0,0,0,0,0,0,46.5,53.5,0.0,3559608,4095219,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.28,88.6,11.4,Likely D,-0.81,5.19,12.69,1.7,6.73,-0.12,-2.21,14.49,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.62,42.98,11,11.11,0.257,77279766,7409350,0,42587451,2079981,0,906052,1643723,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.14,43.86,0.0,2063206,1611840,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.72,39.4,60.6,Lean R,-7.45,5.19,-3.98,-0.08,-0.93,-0.71,-13.45,10.73,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,46.43,47.28,9,-0.94,0.242,6276527,10217845,0,2362314,6749491,0,14788494,6810475,3914213,5396429,0,2726556,1052135,0,440127,2232367,0,0,0,0,0,0,0,47.36,50.01,2.63,551509,582320,30625,0,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-24.65,0.8,99.2,Safe R,-31.34,5.19,-29.45,-1.14,-1.67,-0.49,-37.52,12.87,False,True,IND,Todd Achilles,37.68,0.8,,,0.0,,confirmed,29.96,39.02,5,-10.56,0.254,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,62.32,0.0,0,394842,0,238701,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.62,97.8,2.2,Safe D,15.12,5.19,20.62,0.32,0.0,0.0,11.14,9.49,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,0,1107958,1512424,0,10437456,11068156,4798641,947466,0,1182892,27050,0,426634,12325,0,0,2000000,0,0,2000000,0,60.31,39.69,0.0,2385198,1569539,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-10.71,14.7,85.3,Likely R,-15.24,5.19,-11.65,-0.09,-1.09,-0.43,-16.41,5.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.2,47.03,3,-6.83,0.194,4169078,4009075,0,1730621,5388078,0,0,2030698,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,44.64,55.36,0.0,414877,514436,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-28.75,0.3,99.7,Safe R,-30.07,5.19,-31.35,-0.86,-4.86,-0.75,-31.03,2.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.0,49.0,1,-14.0,0.15,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729356,0,24750,1995311,0,0,0,0,89868,0,0,35.63,64.37,0.0,517362,934807,0,0,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-24.07,0.9,99.1,Safe R,-21.43,5.19,-24.07,-0.45,-7.1,-0.28,-22.36,-1.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,37.96,62.04,0.0,533358,871524,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.6,99.9,0.1,Safe D,29.02,5.19,36.15,0.62,1.67,-0.34,25.91,6.69,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,51.23,30.31,8,20.92,0.233,5352148,1561360,0,1348676,712417,0,17917,2281805,5814159,848943,0,804613,71926,0,589250,5775,0,0,1053414,0,0,1005000,0,66.3,33.7,0.0,1612114,819454,0,0,2431568
