cousub_fips,town_name,state,county_fips,town_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
0901106820,Bozrah town,CT,09011,-12.74,-10.98,45.4,51.6,-6.2,2.2,91.1,1.4,2.9,0.5,0.1,0.2
0901115910,Colchester town,CT,09011,7.18,8.94,36.8,60.1,-23.3,2.0,88.7,1.5,3.9,1.7,0.3,0.0
0901123400,East Lyme town,CT,09011,25.4,27.16,28.9,68.1,-39.2,1.6,83.8,2.6,4.6,5.7,0.2,0.0
0901129910,Franklin town,CT,09011,-9.77,-8.01,44.1,52.9,-8.8,2.1,89.6,1.2,3.3,1.2,0.9,0.0
0901133900,Griswold town,CT,09011,-19.03,-17.26,47.9,49.0,-1.1,2.0,85.7,2.1,3.8,2.3,0.8,0.0
0901134250,Groton town,CT,09011,24.05,25.81,29.1,67.9,-38.8,0.9,73.5,5.3,9.8,5.4,0.5,0.2
0901142390,Lebanon town,CT,09011,-8.47,-6.71,43.5,53.5,-10.0,2.0,90.2,0.6,4.3,0.5,0.7,0.0
0901142600,Ledyard town,CT,09011,9.1,10.86,35.7,61.2,-25.5,1.5,79.9,3.1,6.0,3.4,2.7,0.1
0901143230,Lisbon town,CT,09011,-11.58,-9.82,44.8,52.1,-7.3,2.1,89.5,0.8,3.3,1.5,0.5,0.1
0901144210,Lyme town,CT,09011,33.58,35.34,25.7,71.2,-45.5,2.3,94.2,0.1,2.2,1.0,0.0,0.0
0901148900,Montville town,CT,09011,-0.93,0.83,39.8,57.1,-17.3,1.1,73.5,6.1,7.9,6.3,1.6,0.1
0901152350,New London town,CT,09011,44.16,45.92,19.3,77.7,-58.4,-1.6,47.3,14.8,29.8,2.6,0.5,0.1
0901155500,North Stonington town,CT,09011,-3.14,-1.37,41.3,55.7,-14.4,2.2,90.0,0.9,2.7,1.1,0.8,0.1
0901156270,Norwich town,CT,09011,17.49,19.26,31.4,65.5,-34.1,-0.0,59.3,10.6,15.8,7.3,0.7,0.1
0901157040,Old Lyme town,CT,09011,18.72,20.49,31.9,65.0,-33.1,2.1,91.6,0.6,3.3,2.0,0.1,0.0
0901162150,Preston town,CT,09011,-13.57,-11.81,45.6,51.3,-5.7,2.0,87.2,1.2,3.1,2.5,0.7,0.0
0901166210,Salem town,CT,09011,-3.14,-1.38,41.1,55.8,-14.7,1.9,86.6,1.6,4.3,2.8,0.2,0.1
0901171670,Sprague town,CT,09011,-15.61,-13.84,46.5,50.5,-4.0,2.0,87.6,1.8,3.8,1.8,0.3,0.0
0901173770,Stonington town,CT,09011,27.19,28.95,28.4,68.6,-40.2,2.2,91.3,0.9,2.6,1.8,0.3,0.0
0901178600,Voluntown town,CT,09011,-23.54,-21.78,50.0,47.0,3.0,2.3,92.3,0.3,2.3,0.7,0.8,0.0
0901180280,Waterford town,CT,09011,10.62,12.38,35.1,61.9,-26.8,1.5,82.9,2.6,6.6,3.7,0.4,0.0
0901301080,Andover town,CT,09013,-0.15,1.62,41.0,56.0,-15.0,2.2,90.5,1.2,3.1,1.2,0.0,0.0
0901306260,Bolton town,CT,09013,6.11,7.88,38.3,58.7,-20.5,2.0,89.3,1.7,4.0,1.6,0.1,0.0
0901316400,Columbia town,CT,09013,3.15,4.91,39.6,57.3,-17.7,2.2,92.2,0.8,3.0,0.6,0.3,0.0
0901317800,Coventry town,CT,09013,1.7,3.46,40.2,56.8,-16.6,2.1,90.7,0.7,3.2,1.3,0.1,0.0
0901325360,Ellington town,CT,09013,0.71,2.47,40.4,56.5,-16.1,1.8,84.7,2.3,3.5,6.4,0.1,0.0
0901337910,Hebron town,CT,09013,7.57,9.33,37.7,59.2,-21.5,2.2,92.2,0.6,3.0,1.0,0.1,0.0
0901344910,Mansfield town,CT,09013,49.66,51.43,19.0,78.0,-58.9,0.5,68.4,5.1,8.0,14.9,0.1,0.0
0901369220,Somers town,CT,09013,-17.94,-16.18,48.4,48.6,-0.2,1.9,83.8,6.8,6.0,1.2,0.1,0.0
0901372090,Stafford town,CT,09013,-15.46,-13.7,47.5,49.5,-2.0,2.2,90.5,0.8,3.1,1.1,0.1,0.1
0901376290,Tolland town,CT,09013,7.42,9.18,37.7,59.3,-21.6,2.0,89.0,1.3,3.3,3.1,0.2,0.0
0901377830,Union town,CT,09013,-14.55,-12.78,47.2,49.8,-2.6,2.3,91.5,0.3,2.4,0.3,0.0,0.0
0901378250,Vernon town,CT,09013,18.33,20.1,32.6,64.4,-31.8,1.1,74.2,6.6,8.9,6.3,0.1,0.0
0901385950,Willington town,CT,09013,-4.21,-2.45,42.5,54.5,-12.1,1.6,83.9,1.4,4.0,6.5,0.2,0.2
0901501430,Ashford town,CT,09015,4.91,6.67,38.0,59.0,-21.0,2.1,90.1,1.2,3.3,1.5,0.1,0.0
0901509190,Brooklyn town,CT,09015,-12.89,-11.13,45.5,51.5,-6.1,1.9,87.3,2.6,4.9,1.4,0.3,0.1
0901512130,Canterbury town,CT,09015,-25.22,-23.46,50.9,46.1,4.8,2.3,90.7,1.2,2.7,0.6,0.3,0.0
0901513810,Chaplin town,CT,09015,-13.01,-11.25,45.5,51.5,-5.9,1.9,88.8,1.0,5.0,0.4,0.5,0.0
0901521860,Eastford town,CT,09015,-14.75,-12.99,46.4,50.6,-4.2,2.2,91.8,0.6,2.9,1.0,0.3,0.0
0901536000,Hampton town,CT,09015,-2.08,-0.32,41.0,55.9,-14.9,2.2,91.6,0.0,2.4,0.8,0.9,0.0
0901540500,Killingly town,CT,09015,-19.92,-18.16,48.5,48.4,0.1,2.1,88.5,1.3,3.4,1.8,0.2,0.0
0901559980,Plainfield town,CT,09015,-23.05,-21.29,49.8,47.2,2.6,2.0,88.0,1.3,4.3,1.2,0.5,0.0
