county_fips,state,county_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,vap_tot,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
01085,AL,37.49,39.26,24.4,72.5,-48.1,3.9,8283,29.3,67.3,1.2,0.2,0.1,0.0
01087,AL,56.68,58.44,16.3,80.5,-64.3,4.0,16226,16.6,78.9,1.7,0.4,0.2,0.0
01089,AL,-9.11,-7.35,43.3,53.5,-10.2,2.2,304143,63.7,23.0,5.3,2.7,0.5,0.1
01091,AL,-3.78,-2.02,41.7,55.1,-13.4,3.5,15053,45.3,51.1,1.7,0.3,0.0,0.0
01093,AL,-82.19,-80.43,74.5,22.3,52.2,2.4,23264,90.4,3.8,2.2,0.2,0.3,0.1
01095,AL,-72.23,-70.46,69.5,27.3,42.2,0.9,73530,80.9,2.3,12.0,0.6,0.4,0.1
01097,AL,-16.61,-14.85,46.8,50.0,-3.2,2.8,319427,57.4,33.4,2.9,2.1,0.9,0.0
01099,AL,-23.26,-21.5,49.9,46.9,3.0,3.3,15562,54.2,40.6,0.8,0.4,1.4,0.0
01101,AL,31.07,32.83,26.7,70.2,-43.5,3.0,177427,35.2,54.9,3.8,3.5,0.2,0.0
01103,AL,-53.1,-51.34,61.8,35.0,26.8,1.7,95485,74.9,12.0,7.8,0.7,0.6,0.1
01105,AL,42.88,44.64,22.1,74.7,-52.6,3.9,6740,30.4,66.9,0.9,0.1,0.2,0.0
01107,AL,-23.46,-21.7,49.6,47.2,2.4,2.6,15447,54.3,37.4,5.9,0.4,0.1,0.0
01109,AL,-25.34,-23.58,50.6,46.2,4.4,2.9,26809,56.9,35.4,2.3,1.8,0.5,0.0
01111,AL,-65.16,-63.4,67.4,29.4,38.0,2.7,17264,77.7,17.0,1.9,0.4,0.3,0.0
01113,AL,1.68,3.44,39.1,57.7,-18.7,2.8,44681,48.4,42.6,4.4,0.8,0.3,0.2
01115,AL,-64.58,-62.82,67.0,29.8,37.3,2.5,70092,83.5,9.4,2.3,0.7,0.3,0.0
01117,AL,-41.31,-39.55,56.9,40.0,16.9,1.9,170487,75.4,12.5,6.1,2.3,0.2,0.0
01119,AL,41.45,43.21,22.7,74.1,-51.4,3.9,9914,25.5,70.8,1.1,1.0,0.2,0.0
01121,AL,-33.95,-32.19,54.3,42.5,11.8,3.0,65024,63.6,31.2,1.8,0.5,0.3,0.0
01123,AL,-49.9,-48.14,61.0,35.8,25.1,2.8,33012,70.9,23.7,2.1,0.6,0.2,0.0
01125,AL,-20.59,-18.83,48.3,48.5,-0.1,2.5,179024,62.1,28.6,4.8,1.5,0.2,0.0
01127,AL,-72.25,-70.49,70.3,26.6,43.7,2.4,51667,87.7,5.8,2.6,0.4,0.3,0.0
01129,AL,-55.63,-53.87,63.4,33.4,29.9,2.7,12081,67.7,21.9,0.8,0.1,6.8,0.0
01131,AL,31.59,33.35,26.9,69.9,-43.0,3.9,8260,29.6,67.8,1.0,0.1,0.1,0.1
01133,AL,-84.04,-82.27,75.2,21.6,53.6,2.3,18766,93.0,0.6,2.5,0.2,0.4,0.0
02013,AK,-31.7,-29.94,50.4,46.4,4.0,-2.8,3120,20.3,9.5,21.1,24.4,19.4,0.9
02016,AK,6.77,8.53,34.6,62.3,-27.7,-1.9,4579,32.6,5.6,12.7,29.8,12.0,4.3
02020,AK,-1.1,0.66,39.0,57.8,-18.8,0.4,222915,58.5,4.8,8.0,9.3,7.6,2.8
02050,AK,26.88,28.65,26.4,70.4,-43.9,-1.0,12130,11.5,0.6,1.2,1.5,80.7,0.0
02060,AK,-25.44,-23.68,49.4,47.4,2.0,0.5,658,49.1,0.5,3.8,0.8,32.8,0.5
02068,AK,-8.56,-6.8,43.1,53.8,-10.7,2.1,1291,86.8,0.6,2.2,1.0,4.1,0.0
02070,AK,3.77,5.53,36.4,60.4,-24.0,-0.8,3319,19.3,0.6,2.6,1.1,67.9,0.2
02090,AK,-18.71,-16.95,46.9,49.9,-3.1,1.1,72748,68.9,4.2,6.9,3.5,7.1,0.6
02100,AK,12.3,14.06,34.0,62.8,-28.8,1.7,1702,78.4,0.1,3.3,0.8,9.7,0.1
02105,AK,36.01,37.77,23.3,73.5,-50.2,0.5,1845,51.3,0.3,3.6,0.8,35.9,0.2
02110,AK,23.49,25.25,28.8,68.0,-39.2,0.8,25367,65.0,1.1,5.5,6.7,10.1,1.3
02122,AK,-35.92,-34.16,54.5,42.3,12.2,1.8,45987,79.9,0.7,3.3,1.5,6.8,0.3
02130,AK,-20.66,-18.89,47.5,49.3,-1.8,0.8,10855,62.6,0.7,3.9,8.3,15.2,0.2
02150,AK,-26.19,-24.43,49.2,47.6,1.6,-0.5,9874,50.9,0.7,6.9,21.8,12.5,0.8
02158,AK,32.11,33.87,24.1,72.7,-48.6,-1.2,4947,3.2,0.3,0.2,0.4,93.8,0.0
02164,AK,18.29,20.05,30.3,66.5,-36.2,-0.5,1025,23.9,0.1,2.0,0.5,66.7,0.0
02170,AK,-53.38,-51.62,61.9,34.9,27.0,1.7,78081,78.8,1.1,3.9,1.5,6.0,0.4
02180,AK,21.51,23.27,28.8,68.0,-39.1,-0.8,6751,17.6,0.6,1.8,1.3,71.6,0.1
02185,AK,-7.57,-5.81,41.3,55.5,-14.2,-0.5,8179,34.6,1.9,5.8,6.0,44.4,2.9
02188,AK,14.94,16.71,31.6,65.3,-33.7,-0.9,4986,12.1,1.3,1.4,1.1,79.5,0.2
02195,AK,-24.77,-23.01,49.7,47.1,2.5,1.6,2685,75.6,1.3,3.8,3.7,5.9,0.4
02198,AK,-10.95,-9.19,43.3,53.5,-10.3,0.5,4383,46.6,0.5,2.1,0.4,40.8,0.4
02220,AK,15.05,16.81,32.3,64.5,-32.2,0.7,6714,63.4,0.5,5.2,7.2,13.7,0.2
02230,AK,48.3,50.06,18.8,78.0,-59.2,1.9,993,86.9,0.4,3.3,2.8,2.1,0.0
02240,AK,-62.26,-60.5,65.5,31.3,34.2,1.4,5223,75.8,1.1,4.9,1.4,10.8,0.2
02261,AK,-21.79,-20.03,48.2,48.7,-0.5,1.1,7487,69.0,0.6,4.1,5.6,12.7,0.7
02275,AK,-33.83,-32.06,53.4,43.4,10.0,1.4,1707,67.9,0.0,2.9,1.2,16.3,0.1
02282,AK,6.04,7.8,35.8,61.0,-25.2,0.0,534,42.3,0.4,3.4,6.0,36.1,0.2
02290,AK,20.29,22.05,29.5,67.3,-37.7,-0.4,3918,23.8,0.1,0.9,0.2,69.3,0.1
04001,AZ,19.19,20.95,29.7,67.1,-37.3,-0.9,49105,22.9,0.3,5.2,0.5,69.1,0.0
04003,AZ,-23.42,-21.66,47.4,49.4,-2.0,-1.8,99330,58.9,3.6,29.9,2.2,0.6,0.3
04005,AZ,20.16,21.92,29.6,67.2,-37.6,-0.3,115992,56.9,1.4,13.7,1.9,21.8,0.2
04007,AZ,-37.94,-36.18,54.4,42.4,12.0,-0.1,43006,66.7,0.4,15.2,0.8,13.5,0.1
04009,AZ,-48.59,-46.83,58.1,38.7,19.3,-1.9,27715,55.4,1.5,28.4,0.5,12.0,0.1
