race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.88,72.3,27.7,Lean D,15.18,5.5,6.93,0.0,-13.29,-0.46,14.89,-9.01,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.16,45.29,4,-1.63,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.94,47.06,0.0,832085,739689,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.7,96.0,4.0,Safe D,-0.99,5.5,17.55,1.95,11.61,-0.53,-1.75,19.46,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.09,36.01,14,18.69,0.299,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.85,41.15,0.0,2897628,2025990,0,0,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Elaine Pelino,DEM,REP,,DEM,20.39,97.8,2.2,Safe D,15.75,5.5,21.05,0.0,0.0,-0.2,14.16,6.23,False,False,IND,0,,0.0,Ken Block,18.0,0.0,,,0.0,presumptive,projected,39.66,15.05,2,25.15,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.36,32.64,0.0,177379,117286,0,64683,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.04,15.8,84.2,Likely R,-16.61,5.5,-9.95,1.47,0.07,-0.39,-18.12,8.09,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.66,47.0,2,-9.62,0.218,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.98,55.02,0.0,802342,981356,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.57,0.6,99.4,Safe R,-29.41,5.5,-25.57,0.0,-0.64,-1.02,-29.98,4.41,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.22,62.78,0.0,111079,187394,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-16.77,4.8,95.2,Safe R,-28.6,5.5,-19.91,0.0,3.73,-0.54,-30.12,13.36,False,False,IND,0,,0.0,Lauren Pinkston,7.32,0.0,,,0.0,confirmed,confirmed,33.2,49.82,3,-16.15,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.57,54.11,0.0,827247,1160516,0,156996,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-7.96,21.3,78.7,Likely R,-11.93,5.5,-10.31,-1.58,-3.33,1.04,-13.88,5.92,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,44.59,48.04,27,-2.95,0.344,8589462,71434049,0,3002416,67461299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02,53.98,0.0,3673922,4309247,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.58,1.3,98.7,Safe R,33.44,5.5,-24.59,0.0,-62.58,-0.95,32.77,-55.35,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,30.95,43.32,2,-11.61,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,61.29,0.0,100103,158492,0,0,258595
WI-GOV,governor,WI,GOV,David Crowley,Tom Tiffany,DEM,REP,,DEM,2.88,61.6,38.4,Lean D,-0.43,5.5,2.93,-1.76,0.28,-0.66,-0.87,3.75,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,43.81,6,3.28,0.296,1426778,15315779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.44,48.56,0.0,1232513,1163530,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Eric Barlow,DEM,REP,,REP,-41.91,0.0,100.0,Safe R,-46.77,5.5,-41.91,0.0,0.0,-0.64,-46.96,5.05,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,1673103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.05,70.95,0.0,54703,133630,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.17,45.9,54.1,Toss-up,-12.03,5.5,-3.12,0.36,4.11,-1.06,-13.8,11.8,True,False,,4,Dan S. Sullivan,1.75,,0.0,0.0,,,0.0,confirmed,confirmed,48.54,48.38,14,0.58,0.272,18545132,9136967,0,4636755,7295069,0,7911793,12035476,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,47.75,49.75,2.5,112908,117626,5911,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.66,1.3,98.7,Safe R,-26.76,5.5,-24.01,-3.2,0.93,-0.48,-30.88,8.22,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-14.1,0.15,83341,3787330,0,-10011,627788,0,3019,17142534,94747,3284673,0,4247,346554,0,0,881598,0,70643,50000,0,0,360928,0,38.67,61.33,0.0,613125,972438,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-21.42,1.7,98.3,Safe R,-28.08,5.5,-25.63,-0.87,-1.67,-0.51,-31.57,10.15,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.64,48.37,4,-8.33,0.252,2269114,6233117,0,863578,9931885,0,0,3244245,1405536,3752101,0,807603,552197,0,20060,1191500,0,0,0,0,0,73959,0,39.29,60.71,0.0,329838,509619,0,0,839457
