race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_party,ind_party_label,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,25.92,99.5,0.5,Safe D,13.24,5.95,25.58,2.84,3.55,-0.01,11.29,14.63,False,False,LIB,0,,0.0,Bob Chew,FWD,Forward,7.6,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,1270007,2083870,50021,1044358,510004,0,7471143,88913,225649,1302169,28371,1507,958273,999,0,0,2200,1250000,0,0,150000,55.91,32.89,3.6,1249508,735102,80457,169854,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,25.16,99.4,0.6,Safe D,15.57,5.95,25.16,2.25,1.67,-0.28,14.84,10.32,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,4168081,159367,0,4793384,98413,0,11559,0,1559897,60954,0,60175,5698,0,1408377,300,0,0,129260,0,0,129250,0,62.58,37.42,0.0,223745,133798,0,0,357542
FL-SEN,senate,FL,SEN,Angie Nixon,Ashley Moody,DEM,REP,REP,REP,-5.51,28.4,71.6,Lean R,-8.5,5.95,-5.51,-1.8,-1.67,0.51,-13.22,7.71,False,False,IND,0,,0.0,Neil J. Gillespie,IND,Independent,1.65,0.0,,,0.0,confirmed,confirmed,44.14,48.26,6,-5.24,0.291,974845,11270805,0,264978,8491175,0,52180,603843,709866,2779629,0,576840,1529142,0,0,2083000,0,0,0,0,0,0,0,46.46,51.89,0.0,3556785,3971736,0,126305,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.72,90.2,9.8,Likely D,-0.66,5.95,13.48,1.59,6.73,-0.12,-2.21,14.93,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,52.7,42.94,12,10.78,0.282,77279766,7409350,0,42587451,2079981,0,3511386,5979594,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.36,43.64,0.0,2071263,1603783,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-1.3,43.9,56.1,Toss-up,-7.02,5.95,-2.91,-0.19,-0.93,-0.71,-13.45,12.15,False,False,LIB,0,,0.0,Thomas Laehn,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,45.3,44.41,17,0.89,0.397,6276527,10217845,31908,2362314,6749491,8334,22618802,22718503,3914213,5396429,38131,2726556,1052135,7044,440127,2232367,0,0,0,196,0,0,0,49.1,50.4,0.0,571785,586847,0,5822,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-22.73,0.9,99.1,Safe R,-31.05,5.95,-28.4,-1.14,-1.67,-0.49,-37.52,14.79,False,True,IND,0,,0.0,Todd Achilles,IND,Independent,36.44,0.9,,,0.0,,confirmed,29.96,39.02,5,-10.56,0.26,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,59.17,4.39,0,374856,27813,230875,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,21.37,98.3,1.7,Safe D,15.24,5.95,21.51,0.32,0.0,0.0,11.14,10.23,False,False,OTH,0,,0.0,"Whitfield Harrington, Jr.",OTH,American Center,2.88,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,100702,1107958,1512424,3751,10437456,11068156,4798641,947466,96951,1182892,27050,11358,426634,12325,0,0,2000000,66749,0,2000000,64050,58.94,38.18,0.0,2330735,1510106,0,113896,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-7.31,22.7,77.3,Likely R,-14.45,5.95,-10.04,-0.02,-1.09,-0.43,-16.41,9.1,False,False,LIB,0,,0.0,David C Graham,LIB,Libertarian,3.13,0.0,,,0.0,confirmed,confirmed,43.84,45.58,5,-2.95,0.296,4169078,4009075,0,1730621,5388078,0,1285574,2229575,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,44.89,51.98,0.0,417195,483031,0,29088,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-26.17,0.5,99.5,Safe R,-30.07,5.95,-30.59,-0.86,-4.86,-0.75,-31.03,4.85,False,False,OTH,0,,0.0,Christopher Campbell,OTH,Kentucky Party,2.09,0.0,,,0.0,confirmed,confirmed,39.99,49.0,2,-12.01,0.201,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729356,0,24750,1995311,0,0,0,0,89868,0,0,36.14,61.77,0.0,524842,896976,0,30350,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-23.31,1.0,99.0,Safe R,-21.43,5.95,-23.31,-0.45,-7.1,-0.28,-22.36,-0.95,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,38.34,61.66,0.0,538697,866186,0,0,1404882
