code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
IN-08,district,IN,-35.64,3.74,-30.91,0.98,-36.49,56.4,40.0,16.5,2.3,89.5,4.7,2.5,1.3,1.8,0.2
IN-09,district,IN,-29.6,3.74,-24.99,0.87,-30.39,53.7,42.6,11.1,2.0,88.7,3.4,3.3,2.3,2.1,0.1
KS-01,district,KS,-31.58,3.74,-27.61,0.22,-31.85,53.9,42.5,11.4,0.6,77.4,3.7,13.0,2.5,3.2,0.2
KS-02,district,KS,-19.21,3.74,-15.01,0.47,-20.06,48.8,47.5,1.3,1.1,73.0,9.8,10.6,2.2,4.1,0.3
KS-03,district,KS,3.85,3.74,8.06,0.47,4.17,39.1,57.3,-18.2,1.1,78.0,5.4,8.5,5.4,2.5,0.1
KS-04,district,KS,-23.53,3.74,-19.44,0.35,-23.7,50.6,45.8,4.8,0.8,72.9,7.7,11.1,4.0,4.1,0.2
KY-01,district,KY,-46.75,3.74,-42.01,1.0,-47.91,61.1,35.2,25.9,2.3,86.0,7.9,3.0,1.0,2.0,0.1
KY-02,district,KY,-40.88,3.74,-36.23,0.91,-41.93,58.6,37.8,20.8,2.1,85.8,6.3,3.4,2.3,2.1,0.2
KY-03,district,KY,19.91,3.74,24.54,0.88,19.27,32.6,63.8,-31.2,1.8,65.4,22.0,6.8,3.7,1.9,0.2
KY-04,district,KY,-35.58,3.74,-30.94,0.9,-36.16,56.3,40.1,16.3,2.1,88.8,4.0,3.4,1.5,2.1,0.2
KY-05,district,KY,-63.42,3.74,-58.64,1.04,-64.67,68.3,28.1,40.3,2.4,94.3,2.0,1.3,0.5,1.8,0.1
KY-06,district,KY,-14.62,3.74,-10.05,0.83,-15.31,47.3,49.1,-1.8,1.9,80.9,9.1,5.0,2.8,2.0,0.2
LA-01,district,LA,-39.2,3.74,-34.93,0.53,-39.08,57.4,39.0,18.4,1.2,70.3,13.3,10.3,3.0,3.0,0.1
LA-02,district,LA,50.05,3.74,55.14,1.35,48.71,20.1,76.3,-56.2,2.4,29.3,57.5,8.2,3.3,1.5,0.1
LA-03,district,LA,-35.51,3.74,-30.6,1.17,-36.65,56.4,40.0,16.5,2.4,63.9,27.7,4.6,2.0,1.7,0.1
LA-04,district,LA,-33.25,3.74,-28.28,1.23,-34.59,55.5,40.9,14.6,2.5,61.0,30.3,4.3,1.5,2.6,0.2
LA-05,district,LA,-32.9,3.74,-27.82,1.34,-34.39,55.5,40.9,14.6,2.7,59.9,33.2,3.6,1.3,2.0,0.1
LA-06,district,LA,-32.23,3.74,-27.5,0.99,-32.4,54.9,41.5,13.3,2.0,64.6,24.5,6.3,2.7,1.8,0.1
MA-01,district,MA,15.81,3.74,19.67,0.12,13.91,33.6,62.8,-29.1,0.4,72.5,7.2,15.6,2.7,1.7,0.2
MA-02,district,MA,25.78,3.74,29.88,0.35,24.29,29.6,66.8,-37.2,0.8,74.4,6.5,9.7,7.8,1.4,0.1
MA-03,district,MA,21.24,3.74,24.67,-0.31,19.39,30.8,65.5,-34.7,-0.6,64.2,6.3,19.4,8.5,1.4,0.2
MA-04,district,MA,22.05,3.74,26.43,0.64,20.13,31.5,64.9,-33.3,1.5,81.8,4.7,5.2,7.3,1.0,0.1
MA-05,district,MA,47.53,3.74,51.44,0.17,46.35,20.2,76.2,-56.1,0.4,68.7,6.4,9.6,14.2,0.9,0.1
MA-06,district,MA,22.31,3.74,26.48,0.43,21.09,31.2,65.2,-34.0,1.1,80.0,4.4,9.2,5.3,1.1,0.1
