cand_id,name,first,last,party,state,incumbent,fec_id,strength
C-0153,Robert Aderholt,Robert,Aderholt,REP,AL,1,H6AL04098,0.0
C-0154,Andrew Sneed,Andrew,Sneed,DEM,AL,0,H6AL05244,0.0
C-0155,Dale Strong,Dale,Strong,REP,AL,1,H2AL05102,0.0
C-0156,Maurice Mercer,Maurice,Mercer,DEM,AL,0,H6AL06184,0.0
C-0157,Gary Palmer,Gary,Palmer,REP,AL,1,H4AL06098,-0.79
C-0158,Terri Sewell,Terri,Sewell,DEM,AL,1,H0AL07086,3.97
C-0159,Ammie Akin,Ammie,Akin,REP,AL,0,H6AL07208,0.0
C-0160,Terri Green,Terri,Green,DEM,AR,0,H6AR01155,0.0
C-0161,Rick Crawford,Rick,Crawford,REP,AR,1,H0AR01083,-3.92
C-0162,Chris Jones,Chris,Jones,DEM,AR,0,H6AR02286,2.14
C-0163,French Hill,French,Hill,REP,AR,1,H4AR02141,-1.32
C-0164,Robb Ryerse,Robb,Ryerse,DEM,AR,0,H6AR03128,0.0
C-0165,Steve Womack,Steve,Womack,REP,AR,1,H0AR03055,-6.94
C-0166,James Russell,James,Russell,DEM,AR,0,H6AR04084,0.0
C-0167,Bruce Westerman,Bruce,Westerman,REP,AR,1,H4AR04048,-4.94
C-0168,Amish Shah,Amish,Shah,DEM,AZ,0,H4AZ01194,0.0
C-0169,Gina Swoboda,Gina,Swoboda,REP,AZ,0,,0.0
C-0170,Jonathan Nez,Jonathan,Nez,DEM,AZ,0,H4AZ02184,8.93
C-0171,Eli Crane,Eli,Crane,REP,AZ,1,H2AZ01354,5.29
C-0172,Yassamin Ansari,Yassamin,Ansari,DEM,AZ,1,H4AZ03109,7.2
C-0173,(no Republican filed),(no,Republican filed),REP,AZ,0,,0.0
C-0174,Greg Stanton,Greg,Stanton,DEM,AZ,1,H8AZ09040,2.03
C-0175,Zuhdi Jasser,Zuhdi,Jasser,REP,AZ,0,H4AZ04115,0.0
C-0176,Elizabeth Lee,Elizabeth,Lee,DEM,AZ,0,H6AZ05240,0.0
C-0177,Mark Lamb,Mark,Lamb,REP,AZ,0,H6AZ05265,0.0
C-0178,JoAnna Mendoza,JoAnna,Mendoza,DEM,AZ,0,H6AZ06099,0.0
C-0179,Juan Ciscomani,Juan,Ciscomani,REP,AZ,1,H2AZ02360,-0.36
C-0180,Adelita Grijalva,Adelita,Grijalva,DEM,AZ,1,H6AZ07121,0.0
C-0181,Daniel Butierez,Daniel,Butierez,REP,AZ,0,H4AZ07134,0.58
C-0182,Bernadette Greene-Placentia,Bernadette,Greene-Placentia,DEM,AZ,0,H4AZ08082,0.0
C-0183,Abraham Hamadeh,Abraham,Hamadeh,REP,AZ,1,H4AZ08108,1.08
C-0184,Danielle Sterbinsky,Danielle,Sterbinsky,DEM,AZ,0,H6AZ09085,0.0
C-0185,Paul Gosar,Paul,Gosar,REP,AZ,1,H0AZ01259,0.69
C-0186,Mike McGuire,Mike,McGuire,DEM,CA,0,H6CA01269,0.0
C-0187,James Gallagher,James,Gallagher,REP,CA,1,H6CA01285,0.0
C-0188,Jared Huffman,Jared,Huffman,DEM,CA,1,H2CA06259,-1.34
