# 2026 Maryland House of Delegates per-seat roster (GENERAL nominees).
# Source: MD State Board of Elections June 23 primary RESULTS (winners = top-N
# per party per unit, results final as of Jul 10) x the BOE candidate list;
# seats-per-unit from MultiState (71 units, 141 seats: 3-member at-large
# districts split A/B/C, 2-member subdistricts A/B, single-member as-is).
# Incumbency curated from 2022 winners in leg_results (MD serves 4-year terms;
# 2022 results lump lettered subdistricts under the base district number).
# Pairing: incumbents keep their own seat; an outnumbered party's candidates
# face the other party's non-incumbents. Built 2026-07-15.
chamber,district,seat,dem_name,rep_name,other_name,incumbent,incumbent_party
House of Delegates,37B,A,Michele W. Johnson (Talbot County),Tom Hutchinson (Dorchester County),,,
House of Delegates,37B,B,Marco Antonio Garcia (Dorchester County),Chris Adams (Wicomico County),,,
House of Delegates,38A,,Shelley Johnson,"C. L. Marshall, III",,,
House of Delegates,38B,,Josh Hastings,Barry S. Beauchamp,,,
House of Delegates,38C,,Laurie Anne Brittingham,Wayne A. Hartman,,Wayne A. Hartman,R
House of Delegates,39,A,Lesley J. Lopez,,,Lesley J. Lopez,D
House of Delegates,39,B,Gabriel Acevero,,,Gabriel Acevero,D
House of Delegates,39,C,Greg Wims,,,,
House of Delegates,40,A,Marlon D. Amprey,,,Marlon D. Amprey,D
House of Delegates,40,B,Melissa Wells,,,Melissa Wells,D
House of Delegates,40,C,Tiffany Welch,,,,
House of Delegates,41,A,"S. I. ""Sandy"" Rosenberg",,,,
House of Delegates,41,B,Sean A. Stinnett,,,,
House of Delegates,41,C,Ryan Turner,,,,
House of Delegates,42A,,Jyoti Mohan,"Charles Edward Murphy, III",,,
House of Delegates,42B,,Michele Guyton,Jeffry K. McDonald,,Michele Guyton,D
House of Delegates,42C,,Corynne Courpas,Steve Patten,,,
House of Delegates,43A,A,Regina T. Boyce,,,Regina T. Boyce,D
House of Delegates,43A,B,Elizabeth Embry,,,Elizabeth Embry,D
House of Delegates,43B,,Cathi Forbes,,,Cathi Forbes,D
House of Delegates,44A,,Eric Ebersole,Chuck Linton,,Eric Ebersole,D
House of Delegates,44B,A,Aletheia McCaskill,Domonic Martin,,Aletheia McCaskill,D
House of Delegates,44B,B,Sheila Ruth,,,Sheila Ruth,D
House of Delegates,45,A,Jackie Addison,,,Jackie Addison,D
House of Delegates,45,B,Caylin Young,,,Caylin Young,D
House of Delegates,45,C,Chanel A. Branch,,,,
House of Delegates,46,A,Luke Clippinger,Jeremy L. Amason,,Luke Clippinger,D
House of Delegates,46,B,Robbyn Lewis,,,Robbyn Lewis,D
House of Delegates,46,C,Mark Edelson,,,Mark Edelson,D
House of Delegates,47A,A,Robert Julian Ivey,"Fred M. Price, Jr.",,,
House of Delegates,47A,B,Diana M. Fennell,,,Diana M. Fennell,D
House of Delegates,47B,,Deni Taveras,,,Deni Taveras,D
