state,county_fips,cd_code,votes_dem,votes_rep,votes_total,pres16_dem,pres16_rep,pres20_dem,pres20_rep,pop_tot,vap_tot,vap_white,vap_black,vap_hisp,vap_asian,vap_native,vap_pacific
AR,05087,AR-03,1491,5885,7501,1588,4928,1563,5658,16521,12750,11077,26,591,77,152,141
AR,05089,AR-01,1501,6230,7851,1434,5336,1531,5783,16826,13820,12788,12,241,50,92,0
AR,05091,AR-04,3769,11842,15803,4273,11294,4245,11920,42600,32724,22150,7926,1001,179,199,4
AR,05093,AR-01,3574,6963,10717,5670,7061,4558,7296,40685,30188,18016,10005,1062,182,58,3
AR,05095,AR-01,1002,1385,2433,1312,1489,1147,1545,6799,5364,2960,2056,126,28,19,7
AR,05097,AR-04,645,2987,3707,748,2643,731,3046,8484,6803,6106,13,249,29,78,5
AR,05099,AR-04,840,1962,2855,1157,2000,1076,2133,8310,6433,4126,1861,215,34,27,0
AR,05101,AR-04,644,3063,3770,699,2875,709,3192,7225,5928,5482,6,52,20,56,1
AR,05103,AR-04,3412,5056,8626,4321,5351,3995,5294,22650,17751,9986,6702,317,101,38,3
AR,05105,AR-02,923,3559,4584,1049,3008,1012,3479,10019,7820,7175,93,160,12,38,0
AR,05107,AR-01,2754,2098,4938,4310,2446,3623,2417,16568,12328,4485,7333,189,56,26,2
AR,05109,AR-04,560,3746,4358,685,3150,644,3519,10171,7897,6755,193,536,16,63,0
AR,05111,AR-01,1235,5731,7079,1880,5504,1424,5919,22965,17530,15031,1272,475,46,67,1
AR,05113,AR-04,1145,6987,8288,1212,6618,1246,7035,19221,14907,12808,24,790,81,228,7
AR,05115,AR-04,5487,18118,24191,5000,16256,5772,18081,63381,48973,39828,1625,4065,528,372,23
AR,05117,AR-01,524,2628,3200,814,2505,654,2786,8282,6495,5510,712,82,14,12,3
AR,05119,AR-01,2079,1029,3159,2103,1030,2278,1068,8639,6695,2514,3719,203,30,20,0
AR,05119,AR-02,84338,55030,143101,80434,57860,92661,60270,357731,278563,152587,89222,16988,7614,882,139
AR,05119,AR-04,5622,1918,7664,7032,2348,7009,2349,32755,24320,7194,11879,4437,148,49,20
AR,05121,AR-01,1138,5367,6636,1425,4509,1215,5355,18571,14127,12781,112,234,47,75,331
AR,05123,AR-01,2953,2909,5979,4031,3195,3604,3242,23090,18406,7830,9498,549,95,61,0
AR,05125,AR-02,16609,39736,57609,13256,35863,16060,39556,123416,93852,76344,6995,5124,1094,419,44
AR,05127,AR-04,425,2913,3384,602,2731,483,2962,9836,7507,6355,11,426,209,132,5
AR,05129,AR-01,511,3305,3869,601,2955,588,3365,7828,6274,5705,0,89,20,59,5
AR,05131,AR-03,12818,26419,40213,11687,25931,13861,27636,118101,89875,60600,5748,11875,4462,1594,50
AR,05131,AR-04,645,3678,4406,613,3196,626,3562,9698,7506,6513,24,174,78,154,9
AR,05133,AR-04,862,3772,4714,1075,3282,1116,3884,15839,11405,6765,461,3319,55,206,135
AR,05135,AR-01,1316,5978,7437,1457,5353,1398,5938,17271,13733,12651,69,222,44,106,11
AR,05137,AR-01,1089,4808,6030,1203,4113,1180,4616,12359,9880,9173,10,177,24,79,1
AR,05139,AR-04,5019,10196,15448,5855,10456,5584,10478,39054,30008,18403,9369,1087,212,83,15
AR,05141,AR-02,1437,6023,7621,1549,5382,1593,6034,15796,12778,11694,57,311,49,91,0
AR,05143,AR-03,43779,50243,97158,33366,41476,43824,47504,245871,187669,131088,6151,28669,4612,1845,4958
AR,05145,AR-02,5641,24514,30837,5170,21077,5978,24182,76822,58935,50425,2800,2090,487,264,23
AR,05147,AR-01,760,1513,2318,1118,1347,856,1543,6269,4953,3391,1293,64,13,8,0
AR,05149,AR-04,1213,5147,6477,1480,4608,1284,5226,20263,15326,11678,169,2681,159,89,2
AZ,04001,AZ-02,18872,12795,32019,17083,8240,23293,11442,66021,49105,11261,163,2572,266,33926,17
AZ,04003,AZ-06,15925,31761,48253,11374,25399,16268,31722,95946,76685,51581,3122,15077,2080,473,306
AZ,04003,AZ-07,6371,4175,10670,6076,2693,7464,3835,29501,22645,6887,418,14590,143,167,16
AZ,04005,AZ-02,41504,27576,70067,32404,21108,44698,27052,145101,115992,66001,1607,15873,2247,25294,201
AZ,04007,AZ-02,8504,18901,27648,7003,14182,8943,18377,53272,43006,28669,179,6535,359,5816,30
AZ,04009,AZ-02,917,230,1155,954,82,1077,175,4720,2931,22,4,44,0,2849,0
AZ,04009,AZ-06,2950,10947,14028,2347,7943,2957,10574,33813,24784,15325,402,7836,150,467,16
AZ,04011,AZ-06,954,2308,3308,1092,1892,1182,2433,9563,6843,3423,57,2939,59,176,0
AZ,04012,AZ-09,2101,5470,7624,1575,4003,2236,5129,16557,13505,8397,88,2818,96,1569,21
AZ,04013,AZ-01,216486,230652,451407,165601,181170,231800,224950,794220,650304,479002,19479,90045,28524,9200,679
AZ,04013,AZ-02,519,107,628,416,47,601,72,3583,2313,41,9,303,0,1923,0
AZ,04013,AZ-03,147794,63336,214075,120853,36273,170866,54757,794791,568143,135166,57374,330679,16174,11857,1307
AZ,04013,AZ-04,183130,160237,348256,135967,128646,201249,162989,794658,629008,373727,32033,145577,37360,13036,1971
AZ,04013,AZ-05,147662,209881,361492,89027,137164,145700,193881,636833,467162,326848,16335,68747,33011,3424,992
AZ,04013,AZ-07,22195,15601,38206,17653,9403,25070,13426,114478,79965,21480,7060,44451,2972,1169,323
AZ,04013,AZ-08,161777,225697,391135,116776,175878,171294,225779,794703,629045,431759,26564,113800,27139,6149,885
AZ,04013,AZ-09,100453,146020,248745,56615,78779,94192,119811,487302,356446,195309,22021,109138,11474,3246,894
AZ,04015,AZ-02,221,98,321,222,63,294,95,1526,965,55,10,41,5,841,0
AZ,04015,AZ-09,23860,85585,110129,17233,58219,24537,78440,211741,176496,138544,1698,24211,2249,2100,299
AZ,04017,AZ-02,20754,29480,50706,16459,20577,23383,27657,106717,79208,36129,577,7334,442,32631,49
AZ,04019,AZ-06,178990,151954,334711,128473,123382,178078,149489,572694,467021,324299,14564,89143,16548,3191,859
AZ,04019,AZ-07,113460,62715,178465,96188,44046,126903,58269,470739,367244,143724,13440,175905,8656,14006,556
