code,state,chamber,district,vap_total,vap_white_pct,vap_black_pct,vap_hisp_pct,vap_asian_pct,vap_native_pct,vap_pac_pct,vap_minor_pct
VT-S-WDH,VT,upper,WDH,34079.0,90.55,1.88,2.42,1.5,2.52,0.11,9.45
WA-H-30,WA,lower,30,120074.0,46.6,13.06,17.24,17.67,3.54,3.93,53.4
WA-H-31,WA,lower,31,117618.0,75.45,3.67,7.81,7.01,4.73,1.53,24.55
WA-H-32,WA,lower,32,127189.0,61.33,7.43,9.66,18.34,2.87,1.0,38.67
WA-H-33,WA,lower,33,122683.0,45.67,14.74,17.54,17.43,3.42,3.03,54.33
WA-H-34,WA,lower,34,129268.0,62.1,8.49,11.75,14.4,3.25,1.05,37.9
WA-H-35,WA,lower,35,124774.0,79.77,2.29,7.18,4.44,5.2,1.08,20.23
WA-H-36,WA,lower,36,133683.0,72.36,3.27,6.37,15.11,2.09,0.53,27.64
WA-H-37,WA,lower,37,128552.0,39.27,18.94,8.51,31.56,2.53,0.97,60.73
WA-H-38,WA,lower,38,121897.0,65.83,5.15,12.89,9.99,5.58,1.4,34.17
WA-H-39,WA,lower,39,119792.0,79.7,2.0,8.1,5.04,3.99,0.76,20.3
WA-H-40,WA,lower,40,128419.0,78.34,1.59,10.84,5.21,3.06,0.69,21.66
WA-H-41,WA,lower,41,119412.0,54.62,2.83,5.09,35.68,1.3,0.46,45.38
WA-H-42,WA,lower,42,123074.0,76.31,1.75,9.57,6.07,5.53,0.72,23.69
WA-H-43,WA,lower,43,144732.0,60.72,5.49,7.16,24.4,1.91,0.62,39.28
WA-H-44,WA,lower,44,116908.0,66.76,3.01,7.07,19.75,2.29,0.74,33.24
WA-H-1,WA,lower,1,122294.0,67.39,3.13,7.35,18.78,2.29,0.74,32.61
WA-H-45,WA,lower,45,118354.0,64.75,2.55,6.57,23.39,1.71,0.43,35.25
WA-H-46,WA,lower,46,131288.0,64.19,5.59,7.45,20.05,2.23,0.63,35.81
WA-H-2,WA,lower,2,118835.0,71.62,5.93,8.77,7.49,4.54,2.53,28.38
WA-H-47,WA,lower,47,119643.0,53.43,9.5,11.11,21.84,2.88,2.45,46.57
WA-H-3,WA,lower,3,125095.0,80.5,3.69,5.94,4.01,4.52,1.04,19.5
WA-H-48,WA,lower,48,125777.0,49.33,2.94,6.73,39.15,1.27,0.42,50.67
WA-H-4,WA,lower,4,121653.0,85.12,2.12,5.09,2.91,3.52,0.74,14.88
WA-H-49,WA,lower,49,123602.0,70.93,4.61,13.52,5.85,3.92,2.02,29.07
WA-H-5,WA,lower,5,117965.0,73.17,2.47,6.49,14.49,2.57,0.66,26.83
