race_code,slot,name,wiki_title,description,image_url,page_url
NH-GOV,rep,Kelly Ayotte,Kelly Ayotte,Governor of New Hampshire since 2025,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Governor_Kelly_Ayotte_receives_a_briefing_from_National_Guard_cyber_operators_%28cropped%29_%28cropped%29.jpg/330px-Governor_Kelly_Ayotte_receives_a_briefing_from_National_Guard_cyber_operators_%28cropped%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Kelly_Ayotte
NM-GOV,dem,Deb Haaland,Deb Haaland,American politician (born 1960),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Secretary_Deb_Haaland%2C_official_headshot.jpg/330px-Secretary_Deb_Haaland%2C_official_headshot.jpg,https://en.wikipedia.org/wiki/Deb_Haaland
NM-GOV,rep,Gregg Hull,Gregg Hull,American politician and businessman,,https://en.wikipedia.org/wiki/Gregg_Hull
NV-GOV,dem,Aaron Ford,Aaron Ford (Nevada politician),American attorney and politician (born 1972),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Nevada_Attorney_General_Aaron_Ford_addresses_the_United_Nations_Human_Rights_Committee%2C_October_17-18%2C_2023_1_%28cropped%29.jpg/330px-Nevada_Attorney_General_Aaron_Ford_addresses_the_United_Nations_Human_Rights_Committee%2C_October_17-18%2C_2023_1_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Aaron_Ford_(Nevada_politician)
NV-GOV,rep,Joe Lombardo,Joe Lombardo,Governor of Nevada since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Joe_Lombardo_by_Gage_Skidmore_%283x4_cropped%29.jpg/330px-Joe_Lombardo_by_Gage_Skidmore_%283x4_cropped%29.jpg,https://en.wikipedia.org/wiki/Joe_Lombardo
NY-GOV,dem,Kathy Hochul,Kathy Hochul,Governor of New York since 2021,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Kathy_Hochul_March_2024.jpg/330px-Kathy_Hochul_March_2024.jpg,https://en.wikipedia.org/wiki/Kathy_Hochul
NY-GOV,rep,Bruce Blakeman,Bruce Blakeman,American politician (born 1955),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Blakeman_Profile_Picture.jpg/330px-Blakeman_Profile_Picture.jpg,https://en.wikipedia.org/wiki/Bruce_Blakeman
OH-GOV,dem,Amy Acton,Amy Acton,American physician (born 1966),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Amy_Acton_2025.jpg/330px-Amy_Acton_2025.jpg,https://en.wikipedia.org/wiki/Amy_Acton
OH-GOV,rep,Vivek Ramaswamy,Vivek Ramaswamy,American entrepreneur and politician (born 1985),https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Vivek_Ramaswamy_%2855241367373%29_%28cropped%29.jpg/330px-Vivek_Ramaswamy_%2855241367373%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Vivek_Ramaswamy
OK-GOV,dem,Cyndi Munson,Cyndi Munson,American politician (born 1985),https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Cyndi_Munson.jpg/330px-Cyndi_Munson.jpg,https://en.wikipedia.org/wiki/Cyndi_Munson
