code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
PA-H-61,42061,PA,lower,61,State House District 61,36296.0,20472.0,14554.0,42105.0,25713.0,15993.0,42304.0,25606.0,16248.0,16.896020099354764,23.305999136814847,22.358675395422182
PA-H-50,42050,PA,lower,50,State House District 50,29568.0,9981.0,18597.0,32902.0,10830.0,21702.0,32275.0,9986.0,21861.0,-30.149065714885577,-33.419402434526006,-37.287656608157754
PA-H-88,42088,PA,lower,88,State House District 88,32224.0,13501.0,17273.0,37257.0,18063.0,18635.0,38425.0,18765.0,19108.0,-12.25710014947683,-1.5586680473050303,-0.905658384601167
PA-H-51,42051,PA,lower,51,State House District 51,26843.0,9435.0,16790.0,30964.0,10849.0,19886.0,31369.0,10386.0,20833.0,-28.045757864632986,-29.402960793883192,-33.46359588712002
PA-H-45,42045,PA,lower,45,State House District 45,32366.0,15890.0,15376.0,36857.0,19191.0,17231.0,37106.0,19034.0,17584.0,1.6439582933538028,5.381362912525397,3.959801190671255
PA-H-56,42056,PA,lower,56,State House District 56,34299.0,10910.0,22260.0,38992.0,13672.0,24891.0,40867.0,14632.0,25945.0,-34.21766656617425,-29.092653579856336,-27.880326293220296
PA-H-30,42030,PA,lower,30,State House District 30,34983.0,15931.0,17587.0,40764.0,21308.0,18956.0,41037.0,21773.0,18618.0,-4.940628915806433,5.84144645340751,7.811146047386794
PA-H-20,42020,PA,lower,20,State House District 20,32531.0,16925.0,14102.0,37102.0,21246.0,15276.0,36972.0,21452.0,14957.0,9.09852708930931,16.346311812058488,17.83899585267379
PA-H-7,42007,PA,lower,7,State House District 7,31524.0,13642.0,16768.0,34522.0,14952.0,19174.0,34324.0,13998.0,20039.0,-10.279513317987504,-12.371798628611616,-17.74833269677116
PA-H-19,42019,PA,lower,19,State House District 19,27408.0,22105.0,4472.0,27450.0,22426.0,4743.0,27276.0,21887.0,4972.0,66.34684125371561,65.0852074054989,62.977028184221304
PA-H-28,42028,PA,lower,28,State House District 28,32870.0,12955.0,18661.0,39761.0,18005.0,21325.0,41454.0,18896.0,21980.0,-18.047823886639677,-8.441393338418509,-7.5447695469223985
PA-H-16,42016,PA,lower,16,State House District 16,31366.0,14454.0,15882.0,35197.0,16712.0,17979.0,35095.0,16075.0,18698.0,-4.707278481012659,-3.6522440978928254,-7.543208811434159
PA-H-15,42015,PA,lower,15,State House District 15,33616.0,10878.0,21530.0,38224.0,12705.0,25078.0,38876.0,12545.0,26054.0,-32.868427548753395,-32.747531958817454,-34.9983160185497
PA-H-26,42026,PA,lower,26,State House District 26,31497.0,15544.0,14442.0,38084.0,21264.0,16277.0,39747.0,21773.0,17400.0,3.67504835589942,13.284142670680058,11.16330125341434
PA-H-29,42029,PA,lower,29,State House District 29,39435.0,20622.0,17301.0,45409.0,26355.0,18628.0,46108.0,26200.0,19323.0,8.757218574479868,17.17760042682791,15.106649386024648
