race_code,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside
IN-04,11234,358293,0,1328,91561,0,200000.0,531743.0
IN-05,582087,1327228,0,314652,230004,0,0.0,0.0
IN-06,37046,2426805,0,7151,1608235,0,0.0,0.0
IN-07,1006177,0,0,621351,0,0,0.0,0.0
IN-08,294502,1171366,0,179308,713500,0,0.0,0.0
IN-09,128179,1856572,0,0,1183066,0,0.0,0.0
KS-01,105413,1467439,0,22877,2721165,0,0.0,0.0
KS-02,727521,1404518,0,241519,1015793,0,0.0,0.0
KS-03,3594654,0,0,1695944,0,0,0.0,0.0
KS-04,93010,1841348,0,16343,1766575,0,0.0,0.0
KY-01,118755,1899533,0,20182,3041112,0,0.0,0.0
KY-02,7539,4707593,0,1197,1718271,0,0.0,80276.0
KY-03,1633684,25659,0,1813760,21372,0,0.0,0.0
KY-04,94464,3567324,0,11145,179309,0,8366952.0,5378133.0
KY-05,182256,849758,0,91274,874716,0,0.0,0.0
KY-06,1463855,1521813,0,491275,398018,0,286464.0,168599.0
LA-01,126085,10590473,0,16224,4011458,0,0.0,0.0
LA-02,1383847,0,0,407274,0,0,0.0,0.0
LA-03,6968,816186,0,3465,603233,0,0.0,0.0
LA-04,234784,20548480,0,8265,9839636,0,0.0,0.0
LA-05,83511,6564561,0,-20919,2052733,0,222328.0,0.0
LA-06,832825,0,0,436705,0,0,0.0,0.0
MA-01,2288096,0,0,4055460,0,0,0.0,0.0
MA-02,759435,0,0,332100,0,0,0.0,0.0
MA-03,1580068,6716,0,1777088,6650,0,0.0,0.0
MA-04,3535358,0,0,7408604,0,0,0.0,0.0
MA-05,4236009,0,0,2212416,0,0,0.0,0.0
MA-06,4547693,0,0,3604718,0,0,330297.0,0.0
MA-07,1125853,0,0,113018,0,0,0.0,0.0
MA-08,817344,0,0,1241118,0,0,0.0,61550.0
MA-09,371290,163494,0,510082,38853,0,0.0,0.0
MD-01,695170,2319668,0,72575,1853603,0,14398.0,15256.0
MD-02,1040390,20194,0,614275,3073,0,0.0,0.0
MD-03,1139858,0,0,335826,0,0,0.0,0.0
MD-04,674406,0,0,459226,0,0,0.0,0.0
MD-05,1676916,0,0,91867,0,0,12093528.0,0.0
MD-06,12308220,403934,0,307611,401,0,516368.0,42387.0
MD-07,415174,0,0,702810,0,0,0.0,0.0
MD-08,7425389,16590,0,7893447,1806,0,0.0,0.0
ME-01,429634,75680,0,423112,20023,0,0.0,0.0
ME-02,1205432,2563901,0,228649,1685710,0,384759.0,16616.0
MI-01,803423,1877392,0,571163,849951,0,0.0,0.0
MI-02,83911,1648987,0,730,1928265,0,0.0,0.0
MI-03,2287558,0,0,1395805,0,0,0.0,0.0
MI-04,2508603,4003831,0,1657935,2606060,0,368204.0,0.0
MI-05,51717,1717295,0,21286,1037289,0,0.0,0.0
MI-06,1155234,0,0,447144,0,0,0.0,0.0
MI-07,2893770,6180398,0,1106758,2957329,0,4965.0,1261244.0
MI-08,5540175,687295,0,4213977,136687,0,12898.0,0.0
MI-09,7579,5146490,0,4437,1476336,0,0.0,0.0
MI-10,1161111,1386621,0,192615,1077901,0,0.0,156687.0
MI-11,1235233,28616,0,414639,7368,0,0.0,0.0
MI-12,2713214,0,0,3909639,0,0,0.0,0.0
MI-13,-1103507,0,0,4682993,0,0,0.0,278074.0
MN-01,1872308,1916146,0,957225,1210804,0,0.0,0.0
MN-02,892676,427440,0,254789,-151,0,61395.0,9375.0
MN-03,1278346,0,0,413021,0,0,0.0,0.0
MN-04,1217732,23031,0,568721,18609,0,0.0,0.0
MN-05,5715729,1078205,0,1572633,31853,0,0.0,0.0
MN-06,0,9631580,0,0,4535592,0,0.0,0.0
MN-07,0,1239373,0,0,902668,0,0.0,0.0
MN-08,0,1940297,0,0,1208605,0,0.0,0.0
MO-01,3295182,0,0,1908027,0,0,628945.0,0.0
MO-02,1119886,3478123,0,261457,4399245,0,0.0,0.0
MO-03,41591,940192,0,3975,485084,0,0.0,0.0
MO-04,236200,1370433,0,48243,779509,0,0.0,0.0
MO-05,1298255,7774,0,1143055,1721,0,0.0,0.0
MO-06,51046,546096,0,6000,269802,0,138220.0,21679.0
MO-07,50540,1339538,0,35943,908427,0,0.0,12107.0
MO-08,4251,5211627,0,1768,5155711,0,0.0,0.0
MS-01,551243,1004205,0,149645,863664,0,0.0,0.0
MS-02,770971,45390,0,1449522,35874,0,0.0,0.0
MS-03,155400,822761,0,23208,962515,0,0.0,0.0
MS-04,29045,990106,0,6534,123359,0,0.0,0.0
MT-01,1382873,1303394,0,550079,502201,0,246965.0,1468950.0
MT-02,19174,2127927,0,3166,650464,0,0.0,0.0
NC-01,4287386,3793077,0,3570366,1829661,0,167771.0,920003.0
NC-02,1675978,0,0,1337687,0,0,0.0,0.0
NC-03,223119,2357956,0,73711,2697820,0,68780.0,0.0
NC-04,912011,11917,0,47788,16967,0,2382171.0,241900.0
NC-05,394695,1662604,0,99815,3369069,0,61981.0,0.0
NC-06,199881,1226408,0,13898,381728,0,0.0,0.0
NC-07,293818,1990423,0,65017,2301487,0,0.0,0.0
NC-08,39569,1019134,0,2343,517853,0,0.0,0.0
NC-09,2237508,3215341,0,163673,1335132,0,63762.0,0.0
NC-10,84024,1081821,0,26174,451275,0,0.0,0.0
NC-11,3052354,939985,0,2184778,485744,0,307847.0,0.0
NC-12,370506,28704,0,456594,3,0,0.0,0.0
NC-13,1022610,1339161,0,514555,707795,0,0.0,0.0
NC-14,24888,1538952,0,-376,1581992,0,0.0,80948.0
ND-01,0,0,0,0,0,0,0.0,0.0
NE-01,592233,2359410,100132,290611,1551251,35130,0.0,0.0
NE-02,2668287,2034386,0,997390,1070769,0,3102987.0,100001.0
NE-03,46356,1777414,0,15419,1023354,0,0.0,282975.0
NH-01,2208010,2326786,0,1200445,1187441,0,409774.0,0.0
NH-02,3709390,1108535,0,2514390,664220,0,0.0,0.0
NJ-01,1657743,11125,0,2365599,5056,0,0.0,0.0
NJ-02,462863,1930058,0,120210,1538041,0,0.0,0.0
NJ-03,934660,79190,0,439329,807,0,0.0,0.0
NJ-04,34352,592016,0,5363,488316,0,0.0,0.0
NJ-05,4765145,55656,0,12773075,8034,0,0.0,0.0
NJ-06,2214837,7645,0,3066966,1866,0,0.0,0.0
NJ-07,4272034,4892807,0,1445694,3634205,0,1799932.0,725906.0
NJ-08,1958766,0,0,679737,0,0,34890.0,0.0
NJ-09,2661928,437829,0,1793359,39624,0,0.0,0.0
NJ-10,2136938,2270,0,814120,1018,0,0.0,0.0
NJ-11,1823436,657711,0,27475,5036,0,648446.0,0.0
NJ-12,1533852,79425,0,91930,3084,0,1900174.0,0.0
NM-01,1353564,100340,0,416711,42741,0,0.0,0.0
NM-02,3784102,1510080,0,2378703,794187,0,0.0,0.0
NM-03,1249949,440623,0,666975,242569,0,0.0,0.0
NV-01,1537358,1915058,0,1337525,653588,0,0.0,0.0
NV-02,257087,2275392,0,140607,117883,0,399937.0,653802.0
NV-03,4401421,4055410,0,3689228,2409434,0,0.0,0.0
NV-04,3350563,884687,0,1496222,285221,0,0.0,0.0
NY-01,647598,0,0,172217,0,0,0.0,0.0
NY-02,461848,3513016,0,89408,3458915,0,0.0,0.0
NY-03,5456698,675501,0,5679950,13451,0,0.0,0.0
NY-04,5097222,137263,0,3843824,1036,0,0.0,0.0
NY-05,1744888,0,0,2010350,0,0,0.0,0.0
NY-06,2033045,0,0,1034068,0,0,0.0,0.0
NY-07,1693312,0,0,206842,0,0,956361.0,0.0
NY-08,14899981,0,0,5000460,0,0,0.0,0.0
NY-09,1013953,6202,0,30978,1055,0,289695.0,0.0
NY-10,2455130,0,0,55336,0,0,432138.0,219039.0
NY-11,79597,2750505,0,0,2767340,0,0.0,0.0
NY-12,3315975,58897,0,1088073,0,0,11999039.0,3017410.0
NY-13,1354602,0,0,222087,0,0,1887856.0,1530657.0
NY-14,32607754,803141,0,15960932,2738,0,0.0,0.0
NY-15,6908655,0,0,13986721,0,0,3857427.0,0.0
NY-16,513967,0,0,100662,0,0,0.0,0.0
NY-17,4317457,8172046,0,1319156,4841306,0,1749553.0,1500000.0
NY-18,4723627,0,0,3116479,0,0,0.0,0.0
NY-19,4825666,1237179,0,3190954,392868,0,60445.0,0.0
NY-20,957587,29026,0,404327,8119,0,0.0,0.0
NY-21,5461528,9460254,0,2622585,3036386,0,121618.0,40000.0
NY-22,2694739,41022,0,1842997,409,0,71377.0,0.0
NY-23,227174,2326405,0,17795,2477498,0,0.0,0.0
NY-24,193088,2763139,0,12850,1373087,0,0.0,0.0
NY-25,1786904,32416,0,408038,12261,0,503893.0,0.0
NY-26,2310288,0,0,1213878,0,0,0.0,0.0
OH-01,4633250,1513614,0,3610214,474156,0,0.0,351300.0
OH-02,0,1095248,0,0,442977,0,0.0,0.0
OH-03,1201451,0,0,2776821,0,0,0.0,0.0
OH-04,22050,4774322,0,520820,6030301,0,0.0,0.0
OH-05,7551,1461648,0,0,1040964,0,0.0,0.0
OH-06,19728,1127553,0,0,284711,0,0.0,0.0
OH-07,603156,2142562,0,312290,1379132,0,1386913.0,41674.0
OH-08,0,661353,0,2987,529910,0,0.0,0.0
OH-09,4303416,1508953,0,3491668,531214,0,86000.0,37000.0
OH-10,362666,894595,0,125160,556284,0,0.0,0.0
OH-11,1183643,0,0,1156556,0,0,0.0,0.0
OH-12,84378,1743281,0,18925,1982352,0,0.0,0.0
OH-13,3135891,127109,0,1897462,77727,0,0.0,0.0
OH-14,61678,1410643,0,33693,3121595,0,0.0,12000.0
OH-15,606658,3299678,0,252402,2056713,0,0.0,0.0
OK-01,141972,415914,0,36579,10742,0,24500.0,478722.0
OK-02,11759,218894,0,2507,76064,0,0.0,0.0
OK-03,945,907279,0,511,532512,0,0.0,0.0
OK-04,65289,3827891,0,4166,2599733,0,0.0,250000.0
OK-05,449421,1943507,0,17334,2021981,0,0.0,0.0
OR-01,816770,4466,0,572435,212,0,0.0,0.0
OR-02,94774,1011413,0,53777,1420775,0,0.0,0.0
OR-03,1038514,0,0,173687,0,0,0.0,0.0
OR-04,1222922,677571,0,520840,387695,0,292419.0,0.0
OR-05,3760212,423922,0,2715860,135365,0,60445.0,0.0
OR-06,1613394,12791,0,611103,1855,0,0.0,0.0
PA-01,2007499,6734931,0,794921,6355534,0,18922.0,10609.0
PA-02,2451958,0,0,5560518,0,0,0.0,0.0
PA-03,1329253,81,0,21452,22,0,2602769.0,0.0
PA-04,1371536,0,0,1184807,0,0,0.0,0.0
