district_code,state,district,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_plus,educ_no_hs,educ_hs,educ_some_college,educ_associate,educ_bachelor,educ_master,educ_professional,educ_doctorate,inc_u10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,inc_35_40k,inc_40_45k,inc_45_50k,inc_50_60k,inc_60_75k,inc_75_100k,inc_100_125k,inc_125_150k,inc_150_200k,inc_200k_plus
NJ-02,NJ,2,616758,415583,91163,77944,26215,12116,1032,90976,92625,89523,108676,109208,70211,36222,59337,188541,98966,43063,104194,41698,10327,5072,12744,10811,9101,11755,10951,10987,9935,9802,9653,19963,27082,38054,31455,23484,29426,34151
NJ-03,NJ,3,614191,404599,60160,87116,56304,8355,861,92329,93470,102409,116727,98071,58731,35310,34000,132639,92377,42081,153732,70509,15538,8642,8552,4550,5208,7064,5992,6398,6703,7262,7267,14334,21363,34673,32438,24971,38431,62862
NJ-04,NJ,4,589130,482913,53575,24859,19149,6746,499,86609,83212,81895,100128,102599,72399,42132,31902,152545,94036,41570,131264,55039,12343,6272,9554,6524,7658,9288,9299,9646,10297,8477,8891,17787,23386,32557,29416,24238,32483,49660
NJ-05,NJ,5,610580,373723,91062,42867,101764,6469,804,83543,87613,103033,118303,99435,59616,38732,30147,109902,78889,35152,173559,81169,25301,11720,8070,4970,5502,5629,5740,6448,6110,5907,5642,12071,18286,28333,27286,24908,38851,79771
NJ-06,NJ,6,611210,276011,134818,77733,120399,8782,912,108570,107036,98538,104449,91189,47140,26672,58129,131889,82470,36219,132461,66217,12109,8392,11090,8315,6965,7806,7118,7077,7734,6817,6446,14276,21623,34783,30011,24563,34426,47710
NJ-07,NJ,7,609441,447713,65743,35818,53000,6405,599,80720,88510,102862,127182,100408,59748,32605,26298,115206,76310,36496,170507,90064,20705,13270,6905,4431,4653,6365,5603,5236,5580,5740,5688,12407,19389,31024,28388,25088,40417,84573
NJ-08,NJ,8,611790,164003,299470,68409,81566,13668,1364,118957,146150,105735,90491,66103,36389,21660,93513,143093,67235,24019,124036,64505,12718,8802,15348,14207,10051,10487,11760,10234,9430,9268,10478,18486,25399,35478,25539,19521,27810,47626
NJ-09,NJ,9,601128,245792,234804,65585,60860,11499,959,104623,107903,102131,101838,83537,49799,25745,73848,165042,82245,31635,112093,44881,10066,5560,12510,10454,7828,8827,9656,9511,8390,8080,8599,16477,23166,32285,27509,20105,27742,40754
NJ-10,NJ,10,597968,121366,120022,315201,44871,8731,1171,109319,111497,97951,100351,77826,45225,25808,66642,158012,94880,34068,103955,44104,8973,5444,22237,15538,12029,10146,10056,10948,9797,8504,9466,17687,26755,30745,25371,18666,23597,30203
NJ-11,NJ,11,609524,390025,92745,47561,75748,6346,669,87338,92829,106123,113554,92807,56749,34549,28538,99596,66998,30220,175172,95915,26039,14590,8231,4012,4150,5069,6305,5286,4873,5481,5936,10754,18782,29522,28239,22307,37670,86392
NJ-12,NJ,12,604883,263386,116047,106823,117700,8700,953,93980,97170,105618,108639,88777,52159,31133,50540,117466,73333,31507,140746,83795,15069,17265,11032,8599,6058,6447,6438,6428,7428,7715,7467,13955,19041,32628,28599,22308,33699,61204
NM-01,NM,1,564033,278556,212166,20639,22125,40712,1748,92019,95669,83924,88650,96859,59478,31679,41069,109112,116151,46788,104390,59549,13705,13494,18733,13411,12990,12287,13010,12581,11259,11716,11919,23218,28261,36934,27353,19873,22680,22962
NM-02,NM,2,534358,177682,299999,15151,9810,42357,1383,105339,90251,81483,77362,78813,51133,26769,76652,130893,101601,41078,60645,32729,4886,5231,18091,15761,12794,14621,11951,13659,11058,10166,9649,19643,24812,30589,20714,14941,13253,9844
NM-03,NM,3,540598,207824,214599,10632,9287,105408,1073,88938,89653,80089,84622,90596,58412,28000,66938,132062,113841,40819,65670,39316,8241,9048,18654,15504,13436,12642,12465,11497,11334,9740,10962,19582,24996,31109,20641,15117,17626,16814
NV-01,NV,1,599975,263524,193093,70437,62414,17822,8557,97685,107381,97420,98806,83032,59731,24851,83540,149852,121790,41667,81221,30843,8725,5181,19321,10790,10726,12454,11924,13323,11520,12520,11443,21917,27334,38338,23638,17238,20324,21339
NV-02,NV,2,611030,408010,120841,17182,36406,27546,5473,102402,104450,93177,100469,100929,64604,28379,60836,143022,136859,51595,95969,39985,10441,7446,12337,8645,9185,9848,10918,10570,10750,10288,10585,21737,29954,42798,35244,25434,27464,29559
NV-03,NV,3,615841,290359,115953,69428,128321,14034,12016,102778,121512,109448,102738,86481,57400,26045,51344,139826,134311,49058,124881,42476,12986,7027,15930,6724,7877,10255,10405,11003,10280,10825,12057,21483,31209,40393,32147,21987,28255,32536
NV-04,NV,4,586480,243758,179509,105783,46185,18677,8775,108150,110137,102278,95264,84847,54242,19649,82795,161823,130261,43905,69690,26538,5575,3019,15219,9761,8265,11131,10680,10820,10692,11348,11959,21199,27769,37124,28669,18942,19789,17473
NY-01,NY,1,624997,468355,80878,34173,35988,7943,577,93133,82380,92006,121475,101712,68620,37125,36717,125695,85927,50752,129786,81992,22482,11390,7867,4423,4815,5535,6044,4405,4979,4877,6175,12657,18456,26982,26861,25810,40429,72037
NY-02,NY,2,611855,367149,149958,69976,23737,10919,675,104841,100046,99903,115779,92311,51689,29484,63673,154580,93921,54203,100047,61449,10826,5036,7923,4625,4472,4730,5381,5061,4852,5324,5259,10542,15807,28220,28000,25258,37303,55198
NY-03,NY,3,621713,355269,84660,29728,147447,5701,804,86273,84723,98611,113641,104075,67037,43913,48575,103452,72145,39849,155917,89470,32663,12450,9058,3900,4864,4909,5304,4980,4446,5442,5320,10231,15352,26168,26112,22786,37723,79761
NY-04,NY,4,609622,322474,123665,115479,47653,7764,811,99581,96113,98339,108506,95227,55283,33816,50907,125477,84064,43714,129811,74829,20242,7973,5800,4192,4345,4724,5076,4803,4752,4305,5383,10196,15345,23131,24549,22301,37029,70857
NY-05,NY,5,616662,81185,120717,291168,107725,17359,2961,110069,102447,98366,115636,97612,54382,31418,94378,160583,102849,45243,95289,45745,9376,4015,12924,9795,6709,6566,8475,7818,7637,7504,8873,15063,21580,30909,27558,20144,26435,30837
NY-06,NY,6,632721,153492,150072,35453,296148,9986,1211,87902,112159,101403,107234,90942,57171,36378,100773,137076,66720,43874,128861,58640,13577,7350,14720,10147,9083,11019,11558,9437,9401,7790,8381,18911,24085,33974,27411,20102,26105,31821
NY-07,NY,7,622470,229017,218073,89954,94578,15059,1986,139873,150488,95147,79010,59707,34917,18772,87895,124224,63764,30351,139953,58689,12938,5785,17617,13008,9278,10835,9475,8972,8360,7687,8339,16206,21727,32524,25353,20770,28859,44180
NY-08,NY,8,617339,179732,92987,297616,63362,8609,1266,109657,118020,93273,95690,87315,55899,34924,79084,162040,73058,41011,117710,60385,9636,5289,26652,21515,13733,12589,11244,10531,9533,9331,10367,18492,20628,32800,24908,18766,22030,33076
NY-09,NY,9,601315,183860,67283,294000,63166,7574,986,108739,116068,93170,89245,83354,50888,28214,77352,137261,79091,36970,117096,58752,12273,5618,16531,16577,11211,10927,11062,9733,9850,8575,9287,19132,23652,33239,26500,19903,23677,29691
NY-10,NY,10,633635,314959,116754,51557,151224,9780,2076,115218,141607,101016,84838,68358,44655,25063,82670,70083,40695,18007,176811,96921,34881,16216,19214,14461,8972,9341,8361,7276,7380,7108,7023,13075,17394,26978,22474,18756,30505,92189
NY-11,NY,11,612426,331023,100842,50170,132718,8915,944,94635,101870,98456,105449,92470,55734,31565,79003,148342,75722,37225,118070,58047,13130,5506,13487,10472,7851,8189,8334,8046,7004,7709,8180,16537,21120,30821,26082,20968,30864,40743
NY-12,NY,12,682247,451233,74491,44697,107918,5862,1888,114315,137590,89556,86570,78517,65193,40164,22548,39608,40966,16187,217603,144532,63628,29542,19014,10988,7481,8593,7323,7092,6425,6109,6570,12952,19292,30183,32018,23995,41060,137320
NY-13,NY,13,632159,106775,318682,212653,42186,18398,2134,139340,135774,105256,99555,80622,45801,27820,128801,127695,88599,31806,111842,61078,13555,11245,32916,28534,16235,15814,14004,10280,11247,11579,10096,21020,25782,32253,22749,15946,18007,24889
NY-14,NY,14,611762,124593,308929,119221,81730,19229,1812,110881,120332,94491,90257,71634,42423,24428,113683,140756,72052,39886,88791,39938,7119,4132,20289,15096,10242,11328,10932,10282,8993,8777,7921,18878,22628,29992,23453,17549,21791,21260
NY-15,NY,15,588371,60740,300901,249394,25523,16278,2280,113428,106887,94949,97069,72196,40860,24254,128590,137837,82143,38495,67816,29527,6856,3673,32623,28870,16234,14833,13136,11161,11621,10939,10788,19568,22725,30405,17904,12379,13835,13806
NY-16,NY,16,606530,252636,163055,153275,44774,10669,994,94761,97048,103417,106138,88631,57697,37430,65715,106413,73037,37731,126378,87302,29216,10997,14780,10419,7686,9124,8189,7137,7389,8270,8565,14018,19545,29657,26816,19690,28838,68550
NY-17,NY,17,585311,385031,107811,54740,35071,7603,696,92304,87718,91741,110185,94503,56952,34361,48026,103293,77676,37822,132725,84959,22534,10951,7925,4965,5996,5928,5977,5743,6242,5230,5844,11200,16368,26935,24020,22447,32293,71346
NY-18,NY,18,605234,402171,97092,74428,23485,12073,830,103709,91318,95891,107488,96055,55979,31275,48524,145239,95134,54929,99905,62712,10910,8020,12954,8974,9429,9319,8728,8983,8922,8061,8568,17028,23462,32351,30626,23550,32614,40896
NY-19,NY,19,635737,519418,37391,35701,27490,12710,831,111062,88212,85360,105779,108197,70477,37180,48413,159693,87361,62827,94745,60991,12200,13341,17056,13387,12635,12551,13107,11188,11510,11952,11992,23184,29825,39630,31641,21383,24967,25902
NY-20,NY,20,624146,466920,37411,66117,39619,11686,1039,116236,100069,91486,102865,95560,61373,33896,39848,129137,85677,63576,117392,73994,14922,12977,14812,11811,10819,10150,9774,10626,11200,10082,10402,21842,28925,42653,34702,26444,33825,35004
NY-21,NY,21,621217,549509,19457,22232,7750,16848,837,100091,93282,87993,109781,107766,66253,34881,56404,186214,97438,70111,77460,45810,7591,4895,14295,13425,13307,13682,12922,12680,12166,12153,12280,24257,32520,43880,33447,21214,22407,17953
NY-22,NY,22,616358,487243,28761,60381,26933,12261,757,104327,95697,86272,100090,101343,60140,35486,48731,142587,90715,67984,97156,59474,11820,8891,17644,12151,13062,13078,11886,12756,11128,11129,11933,22937,29671,40014,31438,21582,25783,24403
NY-23,NY,23,617356,554582,18313,17829,8866,13409,543,86017,89427,86470,113192,113769,68272,39954,42629,177313,93667,75608,88953,57594,9488,7147,14971,13579,12635,13060,14339,12991,12954,12472,12421,23207,31604,42106,33009,22534,26038,23285
NY-24,NY,24,619123,551907,21392,21211,6628,13461,653,96135,93259,87413,112689,108275,66518,33456,52624,183568,100542,74226,78928,46218,6767,5113,15122,11684,11871,11918,13023,12773,13191,12008,12697,25376,32687,45144,33773,22747,24721,17754
NY-25,NY,25,618808,437969,48822,95809,30453,9020,767,105265,103548,86387,103671,95197,61082,35384,45893,122188,85832,64490,120284,73047,15552,11021,16273,12901,12320,12485,13492,12227,11575,11703,11590,21677,30511,41772,33051,22191,28623,29567
NY-26,NY,26,619021,424275,37489,113762,36663,10003,647,114794,109577,84243,99334,97565,55703,34419,49331,144038,99803,61739,104434,59676,11377,9749,22969,17919,14145,15915,15023,13589,14182,13758,12689,23538,32597,42859,31864,20345,22471,21174
OH-01,OH,1,606393,438128,18777,111484,26521,10111,754,113561,108375,94872,98371,88845,50024,25496,40247,131587,91518,42771,128733,63558,14765,10897,19736,14239,11940,12030,11318,11488,11075,11036,11129,19443,26952,39256,30360,22040,28379,38509
OH-02,OH,2,616067,567707,7760,17464,6062,13906,449,99354,94675,95882,108175,102085,63172,31059,59733,215720,101036,50453,70509,34689,5887,4379,17039,17522,14646,15756,14151,13623,12739,12083,12192,22499,28881,41695,28481,19830,18222,16507
OH-03,OH,3,615714,366086,32826,167620,40244,10657,899,136937,126187,93221,86473,74575,43604,23253,42082,116273,96812,35467,139977,62939,17231,10499,17121,13240,12281,10997,13423,13249,14605,13541,13573,25061,31490,41456,29879,21742,24863,31800
OH-04,OH,4,601807,528111,13238,36465,9650,11368,935,95862,91716,99832,104485,98599,61209,31955,43944,208593,108114,52449,77825,34779,5432,3816,13312,11419,11406,12104,12214,12464,13395,13057,13234,24270,32558,43523,33228,21490,22344,18285
OH-05,OH,5,617589,523448,37924,35061,8374,11775,586,103267,92423,93833,105057,101003,62028,35519,44457,199013,112193,53908,80172,36796,5992,4856,15880,13638,12101,13688,14119,13629,13758,13608,13146,25440,33229,43159,31246,20555,20838,18076
OH-06,OH,6,619332,542227,16201,42319,4207,11628,478,94681,90331,89969,107256,109237,68584,38935,59359,231934,101744,51566,69641,30027,4490,3070,17695,15671,14934,15022,17193,14718,14266,13706,14578,25668,33526,44583,29353,18637,17129,12243
OH-07,OH,7,627367,552216,19008,22404,21247,9068,540,86687,93143,94434,108977,110600,70328,38286,32992,162634,107144,48443,128460,58584,13916,6974,9696,8219,9282,9660,10715,10875,10992,10486,11384,25044,31818,47284,36068,25734,29322,34457
OH-08,OH,8,606853,463289,23195,82341,25199,11343,987,97771,99380,91547,103240,98518,58242,32841,38343,167044,100123,43728,113889,49247,9119,8399,13901,8703,8899,10737,10880,12443,11228,11753,11616,22532,30257,42097,32937,24220,27764,28814
OH-09,OH,9,611413,478591,34739,75784,10059,11721,466,97865,96194,91990,103428,103465,62580,32920,44309,179103,116915,57439,90952,38933,8358,5187,18719,15468,12051,13050,15375,13705,14070,13455,14030,26518,33055,43953,32565,20831,20899,20189
OH-10,OH,10,614280,453879,20414,106565,19322,13383,950,109286,99973,88391,100477,95638,62664,34166,43655,148376,123592,53055,96272,53885,8970,7419,17425,15411,12949,13613,13329,13734,13853,13427,13310,23459,32580,44750,30141,21791,23251,23398
OH-11,OH,11,622351,277075,42831,275960,22634,9260,790,118847,107172,88127,98396,98224,55544,33228,61831,152130,115345,43044,95348,49451,17937,9783,33397,26181,20308,17440,17999,17807,15482,15548,15631,25199,33474,36757,24007,15829,17775,20395
OH-12,OH,12,596931,525104,10058,27313,19719,11564,529,90873,94770,102425,106838,97602,57139,30954,44258,177429,97834,47060,105789,46605,8321,4928,11362,11188,9578,9570,10719,11159,10212,11006,10319,19859,27198,39043,30418,22933,29059,31578
OH-13,OH,13,624573,486586,13986,86307,23137,12013,547,107229,96443,92362,103720,101908,64380,34202,39721,164561,113262,45503,113652,50262,10475,7495,17071,15629,13474,14520,14694,13411,13923,13111,13109,23697,31244,43344,30048,21653,24880,25902
OH-14,OH,14,627650,555927,15542,32679,7811,11000,469,93160,87100,91764,109635,114609,73398,38879,48473,203057,111574,48187,96827,41073,7419,4520,14006,12562,11172,12842,13842,13488,13038,13392,13953,24549,32819,44130,33771,22238,23569,22596
OH-15,OH,15,599242,460518,29529,69218,26938,12781,693,101529,117717,103184,100490,86896,47134,22942,53000,168403,103533,42306,107717,45998,9937,6265,12249,11229,9294,10891,10062,10849,11611,13178,12085,23741,33313,41596,34973,24631,25931,23045
OK-01,OK,1,597950,372186,68384,61502,22946,78222,1352,107524,111045,97361,93321,87144,53003,26251,50806,137483,119645,47744,110413,39647,11650,6285,16461,11088,10177,11545,15095,12057,12530,12998,12509,25554,29937,40087,30509,20595,22676,25572
OK-02,OK,2,609272,398595,26431,25892,6194,154864,1109,99356,95830,92016,100468,101224,68696,35054,70707,201923,118568,47044,70716,25045,4302,3439,18916,17436,15658,17200,18779,15058,14393,14211,12924,25224,30829,36428,24270,14790,14230,11689
OK-03,OK,3,594875,385075,100974,37103,12279,63107,3082,115164,106542,92155,90967,82981,52421,28787,76092,174854,109771,38776,71905,26449,3964,5027,19004,15655,13600,14351,16445,14064,13590,12614,12753,26087,30414,37396,25100,15769,16015,12005
OK-04,OK,4,605586,411298,50555,55508,20758,70078,2151,122840,108213,93455,91434,87696,54547,27915,49998,164263,123511,41243,88355,36760,7380,7141,16329,12088,11379,12257,14454,12492,13024,13519,13074,26024,29966,42097,28970,21044,20894,16517
OK-05,OK,5,603015,396700,49277,78904,25158,56921,1297,109443,112323,97082,93410,88679,55955,25954,42090,128631,121066,42322,124350,49512,14861,7537,15281,11327,10069,12764,13801,10323,11321,12924,13329,23413,30124,42329,29922,21105,24257,30007
OR-01,OR,1,565011,389985,71727,17100,65067,18199,4655,100333,116534,98140,84985,79287,48372,21414,35136,89606,105740,41099,135487,64448,17401,16383,11232,8264,7100,7735,7887,8714,8937,9066,8513,16597,24325,38576,30316,24938,33816,45833
OR-02,OR,2,558745,440143,66105,6633,10567,30130,3214,81214,86215,81184,84536,103395,71154,34733,53905,148534,136139,48861,73584,30593,7810,4206,14204,12372,12139,13105,12228,12040,11144,13188,11800,22050,28247,38724,25985,17397,16958,16051
OR-03,OR,3,562802,382318,67601,37804,52847,20395,5913,92859,120892,105938,85125,77246,43751,20929,46194,101567,112145,43187,127473,55136,13804,7717,10782,9218,7732,8033,8499,8260,9243,9669,9178,17997,25792,37192,28777,23760,27696,33446
OR-04,OR,4,581229,472942,42694,9405,23617,26796,3447,106345,82140,78584,84352,101516,70575,34553,36092,119248,134719,47721,92850,43794,10320,11297,16499,13679,12925,13079,12156,12177,13261,12809,11183,23331,29055,39065,28624,18811,19320,19502
OR-05,OR,5,557469,454237,46428,8538,23974,18687,3156,82748,96196,93570,89655,92618,60797,28836,34483,110770,125811,48537,118037,47276,13082,8343,10537,7346,7179,8514,8414,8812,8662,8965,9695,19261,25690,38120,30076,21700,29359,34208
OR-06,OR,6,545396,386650,94839,10975,27713,22524,6134,98414,98014,89561,83491,81491,51869,26493,47492,104337,120029,43585,106754,41784,9782,6798,10200,8549,8089,8292,8141,8981,9370,8767,9273,19511,25871,33077,31043,21692,25358,27817
PA-01,PA,1,608853,500797,30349,27591,40786,6696,543,85377,90469,93802,116039,106769,62977,35972,30436,150576,84087,45521,141696,70254,13979,10620,7728,4788,5560,7412,6811,7097,7685,7330,7427,16005,23239,35210,32024,25976,38350,58102
PA-02,PA,2,592591,244883,131308,155484,62737,8472,1365,106150,118928,90955,92485,81507,45467,23131,86083,177121,81554,32704,84486,37627,10333,5788,23007,19811,14837,15094,13089,12767,11898,12150,12276,20643,25549,35285,24119,16605,17615,20233
PA-03,PA,3,629365,222395,33629,320864,51368,8588,981,145849,133935,77988,78850,79368,46004,26441,49881,134110,92294,29985,113501,67129,22091,14904,34033,21644,15849,13219,15238,13334,11528,11725,10323,22393,30468,37592,28070,16277,21749,30229
PA-04,PA,4,605135,475478,29137,54378,38962,6222,512,87341,95147,96696,108066,102072,58596,39536,29066,138405,75821,41136,148474,77476,19828,13163,8953,5575,6150,7245,7494,6516,8025,6669,8035,16359,24042,36701,31081,26785,35827,59451
PA-05,PA,5,594459,365957,31662,146654,45182,6847,686,99953,105279,92826,100046,89193,51153,31030,36985,143064,84932,39961,120176,62838,17598,12735,14074,9407,8072,9779,9044,11502,9185,10001,10401,17317,23873,34859,28945,21517,28045,44682
PA-06,PA,6,588040,427673,82272,43258,30945,8698,796,94485,94201,97501,105292,90874,56240,30046,41158,122485,71836,35972,146277,73331,15153,12858,9537,7411,6619,8082,7402,8389,8016,7482,7526,16362,22406,33750,28205,23890,33124,57909
PA-07,PA,7,606167,440493,98047,44286,21716,8444,729,96474,95577,92774,104435,97201,60981,35866,48690,180302,87513,51181,102708,45501,9134,8249,9942,9626,9580,10325,10975,11328,10821,11409,11139,22333,26057,39116,31393,22723,28137,29073
PA-08,PA,8,615677,481366,67114,47272,15070,8678,753,93279,91008,90345,108873,104283,67583,36486,50014,199358,96565,54515,87003,43261,7643,5817,15161,14018,12299,13204,13261,13423,12367,11834,11803,22015,29583,41327,29802,20388,22137,18612
PA-09,PA,9,610368,545984,28370,18578,7211,8339,616,90044,88575,89104,106933,107659,68316,40404,54253,236000,81448,52417,77504,32451,6393,4704,13027,11445,13171,13942,13352,13346,12741,12982,12471,24046,31287,42469,31271,21000,21926,16722
PA-10,PA,10,600698,448938,47283,68934,29488,8761,797,95954,100647,94203,101180,97164,59707,32889,43323,179564,84162,50505,111350,48168,11536,6560,14313,8306,9282,9378,10629,10411,10964,11941,10976,22890,31748,43982,33412,23430,28385,27620
PA-11,PA,11,591963,498270,45997,26950,14813,7710,563,94384,94587,87753,98087,96903,60373,38967,61381,187080,80099,42029,98196,42513,7729,5839,8433,7200,7639,9453,9247,9965,9494,10056,10040,20505,31402,43538,35914,25907,26885,26687
PA-12,PA,12,629692,477362,15269,95178,32534,7609,570,116035,108430,83518,95204,100837,60969,38662,29872,154821,87478,57961,125986,63179,15151,13085,21462,16009,14141,13277,14274,13673,13871,12865,12132,22910,30145,40160,32540,22170,26761,29461
PA-13,PA,13,608305,555296,17552,18063,5797,8796,469,89030,87344,88917,104817,106905,72312,38842,52016,244047,82275,49447,73000,31290,5992,4414,12494,12438,12673,13319,12681,13775,13780,13477,13428,24118,31721,43870,31925,21804,19594,14690
PA-14,PA,14,624593,572257,8304,24619,5495,8276,500,90455,86351,87882,108728,114974,71840,41991,39618,225774,86340,58118,91809,40443,7349,5387,15455,14985,13865,14885,14296,14074,13437,13017,13418,23197,31386,43473,30824,21528,22445,19964
PA-15,PA,15,621955,564442,12831,16172,15457,8613,663,108020,86229,87115,103186,105215,66272,38914,46578,230006,73121,51479,76437,36828,6063,10537,14464,13131,13363,14606,14430,14299,13067,13012,12254,24641,31427,40757,29526,17685,17922,14984
PA-16,PA,16,610144,543898,12768,29501,9923,8764,430,91153,91546,86517,105192,109680,66828,37851,39339,207940,83299,53718,99478,43171,7547,6391,14797,14029,13928,14906,15192,13867,12453,12302,12591,23788,30783,40521,31768,19839,21529,20114
PA-17,PA,17,615543,518521,12366,51282,22206,7621,492,80329,104784,89840,103040,111195,67312,38854,22501,148091,88611,58743,146274,68962,16249,11722,12797,10732,10267,11473,11199,10927,11632,10869,12725,22760,31155,42609,32667,24899,32482,39117
RI-01,RI,1,440812,299123,70297,44874,19920,8011,961,76617,75877,62313,73658,66507,42196,23631,49730,100820,63954,28571,81970,39201,10896,7658,10470,11262,8225,7957,7981,7853,6724,7191,7765,12233,18450,26504,22318,16757,20055,23804
RI-02,RI,2,446782,343312,55691,25492,17026,8636,694,77085,71216,64308,74678,74621,42706,24170,32205,106391,74946,34842,83517,41610,8376,6597,9212,8434,6900,6397,5750,6505,5851,6132,6954,14050,18904,29470,24050,19871,23117,25073
SC-01,SC,1,570538,405889,38918,99209,14413,10965,1048,88417,94840,91554,92415,95183,68230,29515,36669,114178,105215,48908,130029,60049,14185,7924,12075,6862,7186,8869,8445,9581,8732,8817,10104,19546,27534,40730,32826,23788,26944,36086
SC-02,SC,2,563028,360714,33556,142949,15340,12326,1039,93289,95791,92605,95784,89960,54969,25442,43030,128212,104461,50607,106508,49159,10510,9001,15799,10213,9608,10545,11482,12041,12228,11480,12424,23303,27149,40311,27921,19155,22773,23870
SC-03,SC,3,577297,427484,27422,101520,8411,11995,575,93189,85842,86346,97247,95133,63054,30953,68205,157429,93050,56333,77742,35278,6403,7210,16709,14662,14084,14664,13315,13424,14309,12452,11671,21612,28507,36315,26190,16341,16282,15512
SC-04,SC,4,565412,379099,50888,107592,17341,11342,780,101101,98081,90946,93542,85239,54379,26753,54146,126788,97516,47841,109534,48486,10047,7160,15610,10540,10606,10511,11497,13420,12101,11318,11961,23381,28747,40142,27559,17992,21782,23332
SC-05,SC,5,562685,374151,25482,138774,12693,11840,681,87431,92864,96523,97633,89456,58016,25898,53736,152553,105852,52536,88251,42097,6241,3087,14978,12166,12022,12497,12461,12718,11258,11271,10105,21978,28274,35346,27586,18818,21855,20831
SC-06,SC,6,586760,261421,31196,275133,12439,9509,1030,121678,104508,77244,86206,90172,53502,26047,63145,148916,98578,46588,84887,37656,8782,6769,27231,16737,15023,15274,14237,14907,14527,13119,12901,22686,29163,33450,21635,13449,14424,15280
SC-07,SC,7,588740,395217,23662,149479,8195,11752,693,83747,80603,85869,98611,113878,81072,29401,60272,183479,111503,54805,77389,32872,6599,4915,20281,14183,13846,15177,15134,14332,13677,13859,13077,23714,29403,35489,22868,15307,15376,14180
SD-01,SD,1,669255,556081,23855,14956,12406,60618,1033,117036,116196,97795,104265,112141,64699,37279,43062,176062,119000,72002,123313,38604,10123,6821,14690,12855,12452,13265,14251,14508,14089,13529,15433,28468,34196,52841,37591,24253,26048,22713
TN-01,TN,1,616550,552337,23185,16903,6671,15172,685,94978,86456,94313,108462,107007,73408,36055,66850,201174,114998,44776,78646,31053,8716,6147,17586,17618,18524,16674,15959,15597,15405,14609,14708,24595,32044,39028,25641,15657,15012,14076
TN-02,TN,2,609512,513810,26464,38406,13658,15347,677,110707,96861,92576,102173,95226,65980,29551,52651,157466,103029,45795,106991,45997,12269,9208,15541,13485,11495,13484,13566,13593,12869,12411,12963,22357,31407,41197,33084,19438,20601,23292
TN-03,TN,3,606482,484588,28990,63327,11428,17246,676,96819,98078,92501,103373,100685,66572,32954,59298,164288,121894,48736,94040,39950,9352,7339,14843,15715,12046,13916,12881,13801,14219,13258,12107,23948,30211,41337,29836,19143,20729,20646
TN-04,TN,4,586518,395002,65271,91453,21913,14413,839,119344,113767,99284,92312,77552,43930,20336,59043,159657,102898,38506,98753,35956,6590,6132,13804,9529,9966,10502,11214,12010,12762,12283,13408,24682,31798,42159,29913,18459,21333,14422
TN-05,TN,5,586652,373255,27649,163517,10221,11784,1034,107914,98314,97682,96227,89659,54564,26463,59499,175757,104464,38401,90227,35706,8111,5763,19539,16314,14083,13404,14447,14033,14626,12326,13027,24228,27023,36049,23420,15953,17610,20811
TN-06,TN,6,614497,485740,33671,65220,14919,14132,722,116059,111060,92405,96934,92792,56790,27245,60317,166030,102564,35799,112463,43824,10877,8247,17764,15490,12941,13939,13249,13277,13206,13697,13126,25306,31306,42203,27203,19652,21065,23525
TN-07,TN,7,593732,444772,34363,85320,14800,13844,1270,105731,111550,98275,101820,88524,52191,24025,46044,152878,108087,42651,113770,47422,12875,10437,12754,8601,9482,9135,9597,10507,11548,10742,12053,22573,30055,41823,35070,22987,25238,29118
TN-08,TN,8,590123,370795,33646,156789,18249,10716,724,93818,97346,94342,98015,91795,56359,28270,47888,150233,105810,36883,104209,48587,12547,7952,15326,12251,10969,12071,11214,11307,11256,10338,11950,22262,26099,36773,28327,21207,21381,27161
TN-09,TN,9,580407,337997,32478,183802,16531,10407,618,99436,96171,98791,102714,88238,54332,22591,58561,170916,105562,35639,90302,39889,8151,5172,17482,13209,11913,12733,12512,11630,12672,13087,11402,21378,27417,36809,24738,17071,19240,24929
TX-01,TX,1,585465,369670,83739,108939,8862,15937,719,102480,95131,89355,90149,94987,56342,32142,68563,152885,127446,44470,75272,27929,5871,4467,17640,12938,13494,12870,14224,12556,11881,10579,11280,21621,28715,36671,23825,17703,18374,16730
TX-02,TX,2,565217,297654,145819,69485,41253,15528,1683,93041,110865,110554,94529,73097,42055,18144,44666,101642,107694,39856,135289,53064,9278,7126,9555,4614,5211,6601,6609,7048,7488,7646,8377,17459,23700,34108,27565,23702,35144,46288
TX-03,TX,3,559537,323213,96391,63626,62400,16566,1156,90131,106275,116748,102187,71303,41627,19741,43320,108394,100918,40526,136552,56890,8453,6321,8958,5364,5728,7100,7407,7651,7903,7764,7621,15243,23002,34504,27574,23507,33886,42190
TX-04,TX,4,576718,350322,63059,56851,89994,16573,1038,89596,105570,119858,101440,77162,50486,23866,33034,96855,96731,39135,157071,80510,12412,8772,9971,6752,7195,7462,7459,7925,7678,7709,8498,17655,25246,32435,28229,23653,33802,57269
TX-05,TX,5,575347,295704,150962,95060,22003,17681,879,103858,111244,98062,93621,79687,45137,23681,79042,144557,117756,39634,82158,31570,6302,4687,11320,9154,8393,9854,11023,11015,11408,11489,10777,20744,28976,35755,26801,20093,21446,21563
